Year,District,week_index,avg_rainfall,Avg_Temperature,Avg_Humidity,Population,People_Displaced,Fatalities,Days_Since_Flood_Start,Waterbody_Proximity,Malaria_cases,AD_cases,Typhoid_cases
2026,Usta Muhammad,5,,,,,,,,,46,167,0
2026,Washuk,5,,,,302623,,,,,NR,NR,NR
2026,Zhob,5,,,,355692,,,,,0,18,1
2026,Ziarat,5,,,,189535,,,,,NR,NR,NR
2026,Abbottabad,5,,,,1419072,,,,,0,369,18
2026,Bajaur,5,,,,,,,,,104,418,3
2026,Bannu,5,,,,1357890,,,,,947,583,66
2026,Battagram,5,,,,335984,,,,,4,159,2
2026,Buner,5,,,,,,,,,77,140,4
2026,Charsadda,5,,,,1835504,,,,,152,1433,184
2026,Chitral Lower,5,,,,,,,,,5,251,5
2026,Chitral Upper,5,,,,195528,,,,,0,51,3
2026,D.I. Khan,5,,,,1829811,,,,,91,1366,0
2026,Dir Lower,5,,,,,,,,,49,835,19
2026,Dir Upper,5,,,,,,,,,5,630,8
2026,Hangu,5,,,,528902,,,,,16,238,0
2026,Haripur,5,,,,1174783,,,,,0,750,0
2026,Karak,5,,,,815878,,,,,26,220,1
2026,Khyber,5,,,,1146267,,,,,33,180,11
2026,Kohat,5,,,,1234661,,,,,18,421,6
2026,Kohistan Lower,5,,,,340017,,,,,0,121,0
2026,Kohistan Upper,5,,,,422947,,,,,5,266,0
2026,Kolai Palas,5,,,,280162,,,,,0,79,0
2026,L & C Kurram,5,,,,,,,,,1,23,0
2026,Lakki Marwat,5,,,,1040856,,,,,118,317,8
2026,Malakand,5,,,,,,,,,11,426,0
2026,Mansehra,5,,,,1797177,,,,,0,493,25
2026,Mardan,5,,,,2744898,,,,,12,745,7
2026,Mohmand,5,,,,553933,,,,,43,27,3
2026,North Waziristan,5,,,,693332,,,,,65,41,24
2026,Nowshera,5,,,,1740705,,,,,45,806,9
2026,Orakzai,5,,,,387561,,,,,1,34,0
2026,Peshawar,5,,,,4758762,,,,,12,2850,27
2026,Shangla,5,,,,,,,,,76,489,16
2026,South Waziristan (Lower),5,,,,,,,,,14,70,5
2026,SWU,5,,,,,,,,,14,24,0
2026,Swabi,5,,,,1894600,,,,,58,820,24
2026,Swat,5,,,,,,,,,14,1383,24
2026,Tank,5,,,,470293,,,,,88,394,0
2026,Tor Ghar,5,,,,200445,,,,,13,83,11
2026,Upper Kurram,5,,,,785434,,,,,10,144,7
