Year,District,week_index,avg_rainfall,Avg_Temperature,Avg_Humidity,Population,People_Displaced,Fatalities,Days_Since_Flood_Start,Waterbody_Proximity,Malaria_cases,AD_cases,Typhoid_cases
2026,Kamber,2,,,,1514869,,,,,1913,1279,79
2026,Karachi Central,2,,,,3822325,,,,,16,1546,1
2026,Karachi East,2,,,,3950031,,,,,11,211,0
2026,Karachi Keamari,2,,,,2068451,,,,,0,539,3
2026,Karachi Korangi,2,,,,3128971,,,,,90,376,2
2026,Karachi Malir,2,,,,2403959,,,,,24,502,13
2026,Karachi South,2,,,,2329764,,,,,14,69,0
2026,Karachi West,2,,,,2679380,,,,,385,837,18
2026,Kashmore,2,,,,1233957,,,,,1589,188,20
2026,Khairpur,2,,,,2597535,,,,,2844,2272,264
2026,Larkana,2,,,,1784453,,,,,2966,1078,225
2026,Matiari,2,,,,849383,,,,,1689,962,41
2026,Mirpurkhas,2,,,,1681386,,,,,1256,2240,116
2026,Naushero Feroze,2,,,,1777082,,,,,1046,1133,123
2026,Sanghar,2,,,,2308465,,,,,3068,1337,74
2026,Shaheed Benazirabad,2,,,,1845102,,,,,1691,1123,82
2026,Shikarpur,2,,,,1386330,,,,,1229,708,125
2026,Sujawal,2,,,,839292,,,,,235,788,95
2026,Sukkur,2,,,,1639897,,,,,1194,767,104
2026,Tando Allahyar,2,,,,922012,,,,,784,686,84
2026,Tando Muhammad Khan,2,,,,726119,,,,,383,686,87
2026,Tharparkar,2,,,,1778407,,,,,1555,1941,69
2026,Thatta,2,,,,1083191,,,,,788,1163,14
2026,Umerkot,2,,,,1159831,,,,,1269,1108,75
2026,Awaran,2,,,,178958,,,,,NR,NR,NR
2026,Barkhan,2,,,,210249,,,,,32,76,15
2026,Chagai,2,,,,269192,,,,,0,75,3
2026,Chaman,2,,,,466218,,,,,41,41,14
2026,Dera Bugti,2,,,,355274,,,,,NR,NR,NR
2026,Duki,2,,,,205044,,,,,NR,NR,NR
2026,Gwadar,2,,,,305160,,,,,54,335,16
2026,Harnai,2,,,,127571,,,,,347,173,0
2026,Hub,2,,,,382885,,,,,33,96,3
2026,Jaffarabad,2,,,,594558,,,,,20,159,7
2026,Jhal Magsi,2,,,,203368,,,,,93,219,6
2026,Kachhi (Bolan),2,,,,,,,,,78,209,0
2026,Kalat,2,,,,271560,,,,,0,0,0
2026,Kech (Turbat),2,,,,1060931,,,,,2,101,NR
2026,Kharan,2,,,,260352,,,,,2,129,3
2026,Khuzdar,2,,,,997214,,,,,23,293,64
2026,Killa Abdullah,2,,,,361971,,,,,34,129,18
2026,Killa Saifullah,2,,,,380200,,,,,322,175,16
2026,Kohlu,2,,,,260220,,,,,11,79,5
2026,Lasbella,2,,,,680977,,,,,146,294,3
2026,Loralai,2,,,,272432,,,,,NR,NR,NR
2026,Mastung,2,,,,313271,,,,,125,134,6
2026,MusaKhel,2,,,,196756,,,,,41,59,12
2026,Naseerabad,2,,,,563315,,,,,34,300,47
2026,Nushki,2,,,,207834,,,,,25,58,0
2026,Panjgur,2,,,,509781,,,,,NR,NR,NR
2026,Pishin,2,,,,835482,,,,,181,245,18
2026,Quetta,2,,,,2595492,,,,,181,278,7
2026,Sherani,2,,,,191687,,,,,NR,NR,NR
2026,Sibi,2,,,,224148,,,,,179,427,30
2026,Sohbat pur,2,,,,240106,,,,,149,169,5
2026,Surab,2,,,,279038,,,,,0,14,0
2026,Usta Muhammad,2,,,,,,,,,277,366,1
2026,Washuk,2,,,,302623,,,,,NR,NR,NR
2026,Zhob,2,,,,355692,,,,,88,20,0
2026,Ziarat,2,,,,189535,,,,,160,58,8
2026,Abbottabad,2,,,,1419072,,,,,0,539,20
2026,Bajaur,2,,,,,,,,,78,404,2
2026,Bannu,2,,,,1357890,,,,,976,601,94
2026,Battagram,2,,,,335984,,,,,10,261,10
2026,Buner,2,,,,,,,,,97,151,5
2026,Charsadda,2,,,,1835504,,,,,180,1369,158
2026,Chitral Lower,2,,,,,,,,,1,266,1
2026,Chitral Upper,2,,,,195528,,,,,0,85,8
2026,D.I. Khan,2,,,,1829811,,,,,83,1185,0
2026,Dir Lower,2,,,,,,,,,61,907,18
2026,Dir Upper,2,,,,,,,,,11,552,3
2026,Hangu,2,,,,528902,,,,,82,283,0
2026,Haripur,2,,,,1174783,,,,,0,847,42
2026,Karak,2,,,,815878,,,,,49,323,2
2026,Khyber,2,,,,1146267,,,,,80,340,52
2026,Kohat,2,,,,1234661,,,,,28,352,3
2026,Kohistan Lower,2,,,,340017,,,,,0,68,2
2026,Kohistan Upper,2,,,,422947,,,,,4,196,0
2026,Kolai Palas,2,,,,280162,,,,,0,83,1
2026,L & C Kurram,2,,,,,,,,,0,4,1
2026,Lakki Marwat,2,,,,1040856,,,,,129,210,8
2026,Malakand,2,,,,,,,,,24,508,0
2026,Mansehra,2,,,,1797177,,,,,0,570,4
2026,Mardan,2,,,,2744898,,,,,18,669,9
2026,Mohmand,2,,,,553933,,,,,54,31,2
2026,North Waziristan,2,,,,693332,,,,,36,32,26
2026,Nowshera,2,,,,1740705,,,,,75,910,4
2026,Orakzai,2,,,,387561,,,,,0,60,0
2026,Peshawar,2,,,,4758762,,,,,4,2559,13
2026,Shangla,2,,,,,,,,,59,563,12
2026,South Waziristan (Lower),2,,,,,,,,,9,63,33
2026,SWU,2,,,,,,,,,9,29,1
2026,Swabi,2,,,,1894600,,,,,49,662,43
2026,Swat,2,,,,,,,,,20,1570,49
2026,Tank,2,,,,470293,,,,,58,288,0
2026,Tor Ghar,2,,,,200445,,,,,14,48,8
2026,Upper Kurram,2,,,,785434,,,,,9,164,9
2026,Badin,3,,,,1947081,,,,,1618,1658,186
2026,Dadu,3,,,,1742320,,,,,3281,1955,279
2026,Ghotki,3,,,,1772609,,,,,1232,668,75
2026,Hyderabad,3,,,,2432540,,,,,338,1806,59
2026,Jacobabad,3,,,,1174097,,,,,810,515,71
2026,Jamshoro,3,,,,1117308,,,,,1633,1237,70
2026,Kamber,3,,,,1514869,,,,,2110,1227,91
2026,Karachi Central,3,,,,3822325,,,,,14,1606,2
2026,Karachi East,3,,,,3950031,,,,,19,258,3
2026,Karachi Keamari,3,,,,2068451,,,,,6,500,0
2026,Karachi Korangi,3,,,,3128971,,,,,66,305,4
2026,Karachi Malir,3,,,,2403959,,,,,35,799,29
2026,Karachi South,3,,,,2329764,,,,,16,66,0
2026,Karachi West,3,,,,2679380,,,,,335,847,21
2026,Kashmore,3,,,,1233957,,,,,1599,169,23
2026,Khairpur,3,,,,2597535,,,,,3525,2668,295
2026,Larkana,3,,,,1784453,,,,,3438,1157,239
2026,Matiari,3,,,,849383,,,,,1728,1032,51
2026,Mirpurkhas,3,,,,1681386,,,,,1102,1821,92
2026,Naushero Feroze,3,,,,1777082,,,,,1481,1500,224
2026,Sanghar,3,,,,2308465,,,,,2963,1477,65
2026,Shaheed Benazirabad,3,,,,1845102,,,,,1631,1154,79
2026,Shikarpur,3,,,,1386330,,,,,1471,836,148
2026,Sujawal,3,,,,839292,,,,,781,1372,79
2026,Sukkur,3,,,,1639897,,,,,1105,822,107
2026,Tando Allahyar,3,,,,922012,,,,,961,764,80
2026,Tando Muhammad Khan,3,,,,726119,,,,,416,772,85
2026,Tharparkar,3,,,,1778407,,,,,1505,1782,101
2026,Thatta,3,,,,1083191,,,,,741,1297,14
2026,Umerkot,3,,,,1159831,,,,,1746,1309,87
2026,Awaran,3,,,,178958,,,,,NR,NR,NR
2026,Barkhan,3,,,,210249,,,,,29,54,21
2026,Chagai,3,,,,269192,,,,,34,92,6
2026,Chaman,3,,,,466218,,,,,NR,NR,NR
2026,Dera Bugti,3,,,,355274,,,,,0,2,0
2026,Duki,3,,,,205044,,,,,NR,NR,NR
2026,Gwadar,3,,,,305160,,,,,49,283,12
2026,Harnai,3,,,,127571,,,,,37,184,0
2026,Hub,3,,,,382885,,,,,54,210,6
2026,Jaffarabad,3,,,,594558,,,,,136,168,5
2026,Jhal Magsi,3,,,,203368,,,,,174,137,5
2026,Kachhi (Bolan),3,,,,,,,,,273,239,0
2026,Kalat,3,,,,271560,,,,,0,0,0
2026,Kech (Turbat),3,,,,1060931,,,,,175,436,NR
2026,Kharan,3,,,,260352,,,,,13,144,5
2026,Khuzdar,3,,,,997214,,,,,36,99,32
2026,Killa Abdullah,3,,,,361971,,,,,2,119,14
2026,Killa Saifullah,3,,,,380200,,,,,141,144,28
2026,Kohlu,3,,,,260220,,,,,45,100,10
2026,Lasbella,3,,,,680977,,,,,230,340,6
2026,Loralai,3,,,,272432,,,,,20,193,19
2026,Mastung,3,,,,313271,,,,,26,111,6
2026,MusaKhel,3,,,,196756,,,,,NR,NR,NR
2026,Naseerabad,3,,,,563315,,,,,121,260,20
2026,Nushki,3,,,,207834,,,,,1,67,1
2026,Panjgur,3,,,,509781,,,,,NR,NR,NR
2026,Pishin,3,,,,835482,,,,,10,211,14
2026,Quetta,3,,,,2595492,,,,,5,237,11
2026,Sherani,3,,,,191687,,,,,NR,NR,NR
2026,Sibi,3,,,,224148,,,,,157,397,35
2026,Sohbat pur,3,,,,240106,,,,,28,129,10
2026,Surab,3,,,,279038,,,,,0,8,0
2026,Usta Muhammad,3,,,,,,,,,67,354,2
2026,Washuk,3,,,,302623,,,,,NR,NR,NR
2026,Zhob,3,,,,355692,,,,,0,37,0
2026,Ziarat,3,,,,189535,,,,,35,95,23
2026,Abbottabad,3,,,,1419072,,,,,0,508,17
2026,Bajaur,3,,,,,,,,,96,469,3
2026,Bannu,3,,,,1357890,,,,,1143,610,89
2026,Battagram,3,,,,335984,,,,,7,208,1
2026,Buner,3,,,,,,,,,96,183,5
2026,Charsadda,3,,,,1835504,,,,,148,1249,73
2026,Chitral Lower,3,,,,,,,,,1,322,2
2026,Chitral Upper,3,,,,195528,,,,,1,74,8
2026,D.I. Khan,3,,,,1829811,,,,,93,1126,0
2026,Dir Lower,3,,,,,,,,,38,849,18
2026,Dir Upper,3,,,,,,,,,5,616,14
2026,Hangu,3,,,,528902,,,,,65,237,0
2026,Haripur,3,,,,1174783,,,,,0,1053,35
2026,Karak,3,,,,815878,,,,,52,296,6
2026,Khyber,3,,,,1146267,,,,,94,332,57
2026,Kohat,3,,,,1234661,,,,,25,347,4
2026,Kohistan Lower,3,,,,340017,,,,,0,63,0
2026,Kohistan Upper,3,,,,422947,,,,,2,216,1
2026,Kolai Palas,3,,,,280162,,,,,1,24,2
2026,L & C Kurram,3,,,,,,,,,0,5,0
2026,Lakki Marwat,3,,,,1040856,,,,,123,227,9
2026,Malakand,3,,,,,,,,,19,422,0
2026,Mansehra,3,,,,1797177,,,,,NR,525,19
2026,Mardan,3,,,,2744898,,,,,31,687,28
2026,Mohmand,3,,,,553933,,,,,53,27,3
2026,North Waziristan,3,,,,693332,,,,,61,76,47
2026,Nowshera,3,,,,1740705,,,,,51,984,7
2026,Orakzai,3,,,,387561,,,,,1,36,0
2026,Peshawar,3,,,,4758762,,,,,10,2390,29
2026,Shangla,3,,,,,,,,,54,276,25
2026,South Waziristan (Lower),3,,,,,,,,,11,84,9
2026,SWU,3,,,,,,,,,2,48,0
2026,Swabi,3,,,,1894600,,,,,56,798,34
2026,Swat,3,,,,,,,,,18,1462,7
2026,Tank,3,,,,470293,,,,,79,336,0
2026,Tor Ghar,3,,,,200445,,,,,21,57,10
2026,Upper Kurram,3,,,,785434,,,,,11,159,6
2026,Badin,4,,,,1947081,,,,,1941,2017,176
2026,Dadu,4,,,,1742320,,,,,3082,1941,338
2026,Ghotki,4,,,,1772609,,,,,1215,609,70
2026,Hyderabad,4,,,,2432540,,,,,443,2246,63
2026,Jacobabad,4,,,,1174097,,,,,895,543,82
2026,Jamshoro,4,,,,1117308,,,,,1847,1393,63
2026,Kamber,4,,,,1514869,,,,,2425,1324,101
2026,Karachi Central,4,,,,3822325,,,,,13,1567,67
2026,Karachi East,4,,,,3950031,,,,,16,300,0
2026,Karachi Keamari,4,,,,2068451,,,,,1,542,0
2026,Karachi Korangi,4,,,,3128971,,,,,56,400,1
2026,Karachi Malir,4,,,,2403959,,,,,92,1142,10
2026,Karachi South,4,,,,2329764,,,,,14,84,0
2026,Karachi West,4,,,,2679380,,,,,269,758,22
2026,Kashmore,4,,,,1233957,,,,,1773,198,0
2026,Khairpur,4,,,,2597535,,,,,3573,2701,142
2026,Larkana,4,,,,1784453,,,,,3412,1305,3
2026,Matiari,4,,,,849383,,,,,2003,967,1
2026,Mirpurkhas,4,,,,1681386,,,,,1410,2121,7
2026,Naushero Feroze,4,,,,1777082,,,,,979,1178,36
2026,Sanghar,4,,,,2308465,,,,,3159,1528,21
2026,Shaheed Benazirabad,4,,,,1845102,,,,,1966,1301,79
2026,Shikarpur,4,,,,1386330,,,,,1625,867,6
2026,Sujawal,4,,,,839292,,,,,883,804,12
2026,Sukkur,4,,,,1639897,,,,,1091,872,2
2026,Tando Allahyar,4,,,,922012,,,,,859,739,6
2026,Tando Muhammad Khan,4,,,,726119,,,,,534,762,0
2026,Tharparkar,4,,,,1778407,,,,,1448,1854,15
2026,Thatta,4,,,,1083191,,,,,847,1035,10
2026,Umerkot,4,,,,1159831,,,,,1648,1316,27
2026,Awaran,4,,,,178958,,,,,NR,NR,NR
2026,Barkhan,4,,,,210249,,,,,25,59,25
2026,Chagai,4,,,,269192,,,,,23,68,1
2026,Chaman,4,,,,466218,,,,,NR,NR,NR
2026,Dera Bugti,4,,,,355274,,,,,0,3,0
2026,Duki,4,,,,205044,,,,,NR,NR,NR
2026,Gwadar,4,,,,305160,,,,,23,233,3
2026,Harnai,4,,,,127571,,,,,37,138,0
2026,Hub,4,,,,382885,,,,,37,142,1
2026,Jaffarabad,4,,,,594558,,,,,52,79,2
2026,Jhal Magsi,4,,,,203368,,,,,120,160,0
