year,district,week_index,avg_rainfall,avg_temperature,avg_humidity,population,flood_inundation,mean_ndvi,stagnant_water,malaria_cases,ad_cases,typhoid_cases,elevation_m,river_status,area_sq_km,sanitation_index
2026,Jhal Magsi,6,0.0,18.3375,56.6899,203368,0.75831021,0.124332108,0.686359749,79,67,0,60.0,0.0,3615.0,0.2
2026,Kachhi (Bolan),6,0.1857,14.082,50.8874,442674,,,,252,165,0,,,,
2026,Kalat,6,0.1,6.5131,52.6578,271560,0.254690432,0.032916093,0.174850869,0,5,0,2000.0,0.0,7654.0,0.2
2026,Kech (Turbat),6,,,,1060931,0.405477022,0.042150412,0.360069891,192,201,6,,,,
2026,Kharan,6,0.0286,17.1226,37.379,260352,0.720784555,0.032860255,0.678120042,5,108,4,700.0,0.0,14958.0,0.2
2026,Khuzdar,6,0.0429,13.2672,50.9946,997214,0.206659785,0.068289441,0.116699261,62,97,19,1237.0,0.0,35380.0,0.2
2026,Killa Abdullah,6,0.0429,9.828,55.9916,361971,,,,0,74,5,1500.0,0.0,3553.0,0.2
2026,Killa Saifullah,6,0.0,8.4168,51.9073,380200,0.684488598,0.058898376,0.603359607,NR,NR,NR,1500.0,0.0,6831.0,0.2
2026,Kohlu,6,0.1429,11.9502,56.3359,260220,0.201887309,0.085649152,0.17339187,8,16,9,1000.0,0.0,7610.0,0.2
2026,Lasbella,6,0.0,20.8682,49.9618,680977,0.502287243,0.096330696,0.552985034,188,273,4,,,,
2026,Loralai,6,0.0286,7.7854,63.9554,272432,0.367954768,0.077156163,0.316659922,9,156,22,1400.0,0.0,3785.0,0.2
2026,Mastung,6,0.0,6.7795,61.5754,313271,0.361952606,,0.03801984,10,131,0,1700.0,0.0,3308.0,0.2
2026,MusaKhel,6,0.0571,9.2152,57.0666,196756,0.232749528,0.093679934,0.207497595,NR,NR,NR,,,,
2026,Naseerabad,6,0.0,19.6473,53.094,563315,,,,128,253,40,,,,
2026,Nushki,6,0.0,11.9875,58.3981,207834,,,,0,51,0,900.0,0.0,5797.0,0.2
2026,Panjgur,6,0.0,15.4045,49.1497,509781,0.376114206,0.034628622,0.362737828,NR,NR,NR,900.0,0.0,16891.0,0.2
2026,Pishin,6,0.1857,7.1738,59.6717,835482,0.848903388,,0.697669087,NR,NR,NR,1550.0,0.0,6218.0,0.2
2026,Quetta,6,0.6714,7.4307,60.008,2595492,1.0,,0.0,0,224,1,1680.0,0.0,3447.0,0.75
2026,Sherani,6,,,,191687,,,,NR,NR,NR,1500.0,0.0,2700.0,0.2
2026,Sibi,6,0.0,16.8949,56.4752,224148,0.303528131,0.075628182,0.172346954,212,313,37,130.0,0.0,7121.0,0.2
2026,Sohbat pur,6,0.0,19.3003,54.4904,240106,,,,NR,NR,NR,,,,
2026,Surab,6,0.0429,7.1616,55.6854,279038,,,,0,6,0,,,,
2026,Usta Muhammad,6,0.0,18.6479,60.2417,300000,,,,87,951,1,,,,
2026,Washuk,6,0.0429,12.1116,50.5107,302623,,,,NR,NR,NR,700.0,0.0,33093.0,0.2
2026,Zhob,6,0.0,8.7342,51.3555,355692,0.482326639,0.056329297,0.474852021,0,23,0,1400.0,0.0,20297.0,0.2
2026,Ziarat,6,,,,189535,0.48922347,,0.230113694,13,81,14,2400.0,0.0,3301.0,0.2
2026,Abbottabad,6,1.6714,9.3953,54.6113,1611498,0.006701024,0.226970574,0.014084267,0,484,28,1256.0,0.0,1967.0,0.75
2026,Bajaur,6,0.7714,7.6277,47.4617,1321356,,0.092310031,,77,513,72,900.0,0.0,1290.0,0.2
2026,Bannu,6,0.0857,13.217,54.5539,1410816,0.343009143,,0.271252096,852,513,0,312.0,1.0,1227.0,0.2
2026,Battagram,6,1.3429,1.814,66.5698,575449,0.072292083,0.131693988,0.006088418,3,229,2,1036.0,0.0,1301.0,0.2
2026,Buner,6,1.1714,10.028,58.1617,1084406,0.034006926,0.258513648,0.004009727,73,107,NR,700.0,0.0,1865.0,0.35
2026,Charsadda,6,0.3714,11.7238,63.7328,1953624,,0.267584342,,113,832,0,300.0,2.0,996.0,0.2
2026,Chitral Lower,6,0.0,1.5147,47.9487,336081,,,,5,245,11,1500.0,1.0,6458.0,0.35
2026,Chitral Upper,6,0.0,1.5147,47.9487,204308,,,,0,53,3,2500.0,1.0,8392.0,0.2
2026,D.I. Khan,6,0.0,14.2057,68.0354,2050338,0.539309858,0.205290457,0.484507367,84,1186,0,,,,
2026,Dir Lower,6,0.2286,12.4321,53.0025,1734809,,0.272602445,,41,907,0,800.0,1.0,1583.0,0.35
2026,Dir Upper,6,0.3714,1.5164,68.489,1143644,0.192595722,0.046446653,0.042454997,6,538,0,1200.0,1.0,3699.0,0.35
2026,Hangu,6,0.1857,9.5935,52.5092,627433,0.335830679,,0.245689244,44,189,0,900.0,0.0,1097.0,0.2
2026,Haripur,6,3.6429,9.7277,70.1572,1212553,0.142749719,0.225508466,0.12410299,0,709,0,605.0,2.0,1725.0,0.65
2026,Karak,6,0.0286,13.2345,49.9644,853502,0.654078506,,0.5327964,60,17,0,500.0,0.0,3372.0,0.2
2026,Khyber,6,0.6857,10.5208,49.3458,1193210,0.188149322,0.01088433,0.073859225,52,184,3,1000.0,0.0,2576.0,0.2
2026,Kohat,6,0.0857,12.6759,49.5946,1200463,0.196445013,0.136042506,0.097658528,9,0,0,500.0,0.0,2545.0,0.65
2026,Kohistan Lower,6,0.0,-13.9266,77.4715,244203,,,,0,61,0,1500.0,2.0,1200.0,0.2
2026,Kohistan Upper,6,0.0,-13.9266,77.4715,369931,,,,1,182,0,2500.0,2.0,4000.0,0.2
2026,Kolai Palas,6,0.0,-13.9266,77.4715,331246,,,,0,59,0,,,,
2026,L & C Kurram,6,0.2429,-1.1163,64.1128,604463,0.070980453,0.099737175,0.036320068,8,32,1,,,,
2026,Lakki Marwat,6,0.0,12.1667,66.294,1059019,0.820954773,0.120476397,0.756126879,111,291,0,250.0,1.0,3164.0,0.2
2026,Malakand,6,0.3286,11.7476,54.6442,870427,,0.250468711,,12,437,48,700.0,1.0,952.0,0.2
2026,Mansehra,6,1.2571,6.9399,62.6418,1881089,0.091944298,0.136294361,0.033166568,0,519,0,1000.0,0.0,4579.0,0.2
2026,Mardan,6,0.3,10.7042,74.2265,2868781,0.204780915,0.280477951,0.02723711,22,737,2,300.0,0.0,1632.0,0.65
2026,Mohmand,6,0.3286,11.7476,54.6442,563359,0.656676228,0.07237995,0.3601241,48,54,128,600.0,0.0,2296.0,0.2
2026,North Waziristan,6,0.0286,-4.0899,61.8872,656447,0.134414823,0.09796675,0.113482037,39,16,63,1000.0,1.0,4707.0,0.2
2026,Nowshera,6,0.3286,11.4905,63.2736,1835149,0.51922872,0.185905049,0.363967358,68,797,18,280.0,2.0,1748.0,0.65
2026,Orakzai,6,0.2,8.422,52.9636,307067,0.202437205,,0.073874727,0,53,0,1200.0,0.0,1538.0,0.2
2026,Peshawar,6,0.0143,11.9429,63.4576,5160904,,0.236386698,,6,2674,0,330.0,0.0,1257.0,0.75
2026,Shangla,6,0.0286,2.125,47.5477,915157,0.014806478,0.198905937,0.004940332,95,512,0,2000.0,2.0,1586.0,0.35
2026,South Waziristan (Lower),6,0.2,9.7905,49.7862,820861,0.144376992,0.092162617,0.102074305,12,30,19,,,,
2026,SWU,6,0.2,9.7905,49.7862,488438,0.144376992,0.092162617,0.102074305,11,20,21,,,,
2026,Swabi,6,2.0857,10.3196,77.915,1963296,0.28444768,0.280012451,0.14653765,44,720,65,340.0,2.0,1543.0,0.65
2026,Swat,6,1.0857,9.0699,55.2781,2791410,0.114513335,0.084853789,0.03978202,20,1806,0,980.0,1.0,5337.0,0.35
2026,Tank,6,0.0,13.5164,56.985,472690,0.437759496,0.174916233,0.430320679,62,359,0,250.0,0.0,1679.0,0.2
2026,Tor Ghar,6,3.6429,10.4817,70.2955,206726,,,,26,75,0,,,,
2026,Upper Kurram,6,0.2429,-1.1163,64.1128,785434,0.070980453,0.099737175,0.036320068,13,124,25,,,,
