Year,District,week_index,Avg_rainfall,Avg_Temperature,Avg_Humidity,Population,Elevation_m,River_Status,Area_sq_km,Sanitation_Index,Malaria_cases,AD_cases,Typhoid_cases
2025,Badin,18,0.0429,33.3169,44.8977,2182111,9,1,6726,0.35,2780,3035,56
2025,Dadu,18,0,37.3123,23.4162,1873835,40,2,19070,0.35,2782,2825,150
2025,Ghotki,18,0.0143,35.537,21.3146,1989892,72,1,6083,0.35,1035,920,0
2025,Hyderabad,18,0.0429,33.6256,42.1913,2659637,20,2,993,0.75,661,2461,8
2025,Jacobabad,18,0,35.9866,18.4463,1216179,55,0,2686,0.35,727,605,34
2025,Jamshoro,18,0.0286,33.7093,41.3233,1200463,33,2,11204,0.35,1681,1817,24
2025,Kamber,18,0,36.9658,16.2006,1621170,50,0,5599,0.2,3391,1827,20
2025,Central,18,0,31.2913,57.632,3591719,10,0,69,0.95,1,583,65
2025,East,18,0,30.8123,61.8891,3514347,10,0,165,0.95,32,351,0
2025,Keamari,18,0,30.5638,63.7549,2215961,2,0,559,0.2,8,438,4
2025,Korangi,18,0,30.8668,61.7322,2970331,8,0,95,0.2,66,323,1
2025,Malir,18,0,31.5214,56.5218,2428732,20,0,2268,0.75,174,1131,10
2025,South,18,0,30.5086,58.1864,2166395,4,0,122,0.95,4,63,0
2025,West,18,0,30.8406,61.2175,4732945,15,0,929,0.75,233,755,22
2025,Kashmore,18,0.0286,35.234,20.6692,1316520,60,2,2592,0.35,1973,574,12
2025,Khairpur,18,0,36.5778,20.7944,2908676,53,2,15910,0.5,3550,3028,185
2025,Larkana,18,0,37.1577,17.0246,1842403,48,2,1906,0.5,4112,1637,2
2025,Matiari,18,0.0143,34.5722,37.7067,930873,25,2,1417,0.2,2116,1715,7
2025,Mirpurkhas,18,0.0714,34.5283,38.2989,1820642,16,0,2925,0.5,1765,2705,10
2025,Naushero Feroze,18,0.0143,37.0679,23.5876,1948788,38,2,2945,0.2,1229,1067,39
2025,Sanghar,18,0.1,34.8057,35.6603,2486760,16,1,10608,0.2,3594,1885,39
2025,Shaheed Benazirabad,18,0,36.4445,26.7613,1949997,30,2,4502,0.5,1933,1781,93
2025,Shikarpur,18,0,36.8799,16.4122,1488188,52,1,2512,0.35,2192,1235,4
2025,Sujawal,18,0,31.8914,54.0946,945380,,,,,970,1948,0
2025,Sukkur,18,0,36.2964,20.7504,1798882,65,2,5165,0.75,1600,1497,9
2025,Tando Allahyar,18,0.0571,34.2658,39.6912,1011871,18,0,2343,0.2,1558,1671,11
2025,Tando Muhammad Khan,18,0,33.1398,46.9704,818443,14,2,1733,0.2,552,1021,0
2025,Tharparkar,18,0.1857,33.5555,42.757,1994728,56,0,19638,0.35,2057,1622,23
2025,Thatta,18,0,31.4307,56.7852,1184747,10,2,17355,0.35,998,1236,2
2025,Umerkot,18,0.0429,34.6893,35.587,1297177,12,0,5608,0.35,1211,1366,16
2025,Barkhan,18,0.1286,30.6003,19.8749,206726,1100,0,3514,0.2,52,74,23
2025,Chagai,18,0,32.3527,12.574,273217,919,0,44748,0.2,2,32,0
2025,Dera Bugti,18,0.0571,33.5699,18.8686,378394,250,0,10160,0.2,65,84,0
2025,Gwadar,18,0,28.9309,79.3804,317947,12,0,12637,0.35,54,189,13
2025,Hub,18,0,31.0787,56.0907,461810,,,,,88,204,4
2025,Jaffarabad,18,,,,621388,55,1,1643,0.2,583,522,4
2025,Jhal Magsi,18,,,,180130,60,0,3615,0.2,226,193,40
2025,Kachhi (Bolan),18,0,32.1628,13.9338,417079,,,,,37,165,0
2025,Kalat,18,0.0714,22.8928,17.6883,498077,2000,0,7654,0.2,0,25,0
2025,Kech (Turbat),18,,,,1098914,,,,,1,150,0
2025,Kharan,18,0,33.4083,11.8252,188592,700,0,14958,0.2,2,47,0
2025,Khuzdar,18,0.0143,29.3166,15.1018,969559,1237,0,35380,0.2,5,148,0
2025,Killa Abdullah,18,0,28.4737,11.8928,915157,1500,0,3553,0.2,24,11,0
2025,Killa Saifullah,18,0.0286,25.8537,18.0541,413453,1500,0,6831,0.2,0,181,0
2025,Kohlu,18,1.2571,28.4574,23.0106,258710,1000,0,7610,0.2,0,60,0
2025,Lasbella,18,0,29.2386,65.901,697550,,,,,0,327,0
2025,Loralai,18,0.1571,26.374,21.1824,479944,1400,0,3785,0.2,1,36,0
2025,Mastung,18,0,25.0262,15.654,321574,1700,0,3308,0.2,1,83,0
2025,MusaKhel,18,0.8286,26.2564,25.2913,201891,,,,,9,112,0
2025,Naseerabad,18,0,36.6319,16.293,592374,,,,,0,212,0
2025,Panjgur,18,0,31.418,16.9902,382021,900,0,16891,0.2,7,64,0
2025,Pishin,18,0,25.2897,15.0299,889769,1550,0,6218,0.2,39,38,0
2025,Quetta,18,0,25.0516,15.5879,2751515,1680,0,3447,0.75,8,20,0
2025,Sibi,18,0,34.415,16.5893,163205,130,0,7121,0.2,8,236,0
2025,Sohbat pur,18,0,36.0532,17.8613,241785,,,,,5,348,0
2025,Usta Muhammad,18,0,36.0115,16.4553,314321,,,,,0,156,0
2025,Washuk,18,0.0286,27.4973,15.2707,212771,700,0,33093,0.2,25,96,0
2025,Zhob,18,0.1714,25.6551,27.3431,374767,1400,0,20297,0.2,0,37,0
2025,Abbottabad,18,1.4286,22.8929,47.1838,1611498,1256,0,1967,0.75,0,0,0
2025,Bajaur,18,0.8429,21.6241,44.6271,1321356,900,0,1290,0.2,0,193,0
2025,Bannu,18,0.3,30.8806,28.4342,1410816,312,1,1227,0.2,0,1359,0
2025,Battagram,18,0.4714,21.0433,53.7397,575449,1036,0,1301,0.2,0,29,0
2025,Buner,18,0.5571,23.6375,54.8507,1084406,700,0,1865,0.35,0,294,0
2025,Charsadda,18,0.7143,26.6701,54.1008,1953624,300,2,996,0.2,0,314,0
2025,Chitral Lower,18,0,15.6318,37.2094,336081,1500,1,6458,0.35,0,19,0
2025,Chitral Upper,18,0,15.6318,37.2094,204308,2500,1,8392,0.2,0,2,0
2025,D.I. Khan,18,1.6571,30.6308,37.2415,2050338,,,,,0,154,0
2025,Dir Lower,18,1.1714,28.3494,46.3426,1734809,800,1,1583,0.35,0,163,0
2025,Dir Upper,18,0.2,18.7708,49.1481,1143644,1200,1,3699,0.35,0,17,0
2025,Hangu,18,3.4429,26.03,37.9034,627433,900,0,1097,0.2,0,77,0
2025,Haripur,18,2.0571,25.6432,49.3054,1212553,605,2,1725,0.65,0,0,0
2025,Karak,18,1.1857,29.1703,32.4598,853502,500,0,3372,0.2,0,87,0
2025,Khyber,18,0.4,26.9275,34.5652,1193210,1000,0,2576,0.2,0,114,0
2025,Kohat,18,1.6,28.562,37.4537,1200463,500,0,2545,0.65,0,35,0
2025,Kohistan Lower,18,0,0.7847,55.3749,244203,1500,2,1200,0.2,0,0,0
2025,Kohistan Upper,18,0,0.7847,55.3749,369931,2500,2,4000,0.2,0,10,0
2025,Kolai Palas,18,0,0.7847,55.3749,331246,,,,,0,0,0
2025,L & C Kurram,18,1.0714,15.1125,48.5549,604463,,,,,0,0,0
2025,Lakki Marwat,18,0.3857,28.7388,39.2883,1059019,250,1,3164,0.2,0,162,0
2025,Malakand,18,0.7857,26.898,40.5123,870427,700,1,952,0.2,0,15,0
2025,Mansehra,18,1.9857,21.2377,54.6695,1881089,1000,0,4579,0.2,0,3,0
2025,Mardan,18,0.8857,25.7874,58.0313,2868781,300,0,1632,0.65,0,94,0
2025,Mohmand,18,0.7857,26.898,40.5123,563359,600,0,2296,0.2,0,148,0
2025,North Waziristan,18,3.4286,12.3265,50.6034,656447,1000,1,4707,0.2,0,19,0
2025,Nowshera,18,1.1714,28.4079,46.3565,1835149,280,2,1748,0.65,0,37,0
2025,Orakzai,18,1.8571,24.562,39.2642,307067,1200,0,1538,0.2,0,13,0
2025,Peshawar,18,1.3857,29.8085,37.0802,5160904,330,0,1257,0.75,0,37,0
2025,SD Tank,18,0.6429,30.6005,30.4752,604463,,,,,0,16,0
2025,Shangla,18,2.5,16.9214,49.5644,915157,2000,2,1586,0.35,0,199,0
2025,South Waziristan (Lower),18,0.5,26.7732,30.2149,820861,,,,,0,44,0
2025,SWU,18,0.5,26.7732,30.2149,604463,,,,,0,4,0
2025,Swabi,18,1.4857,25.5613,57.315,1963296,340,2,1543,0.65,0,52,0
2025,Swat,18,0.8857,22.3141,56.5279,2791410,980,1,5337,0.35,0,16,0
2025,Tank,18,0.6429,30.6005,30.4752,472690,250,0,1679,0.2,0,56,0
2025,Tor Ghar,18,1.8,25.8537,51.1814,206726,,,,,0,36,0
2025,Upper Kurram,18,1.0714,15.1125,48.5549,748325,,,,,0,14,0
2025,Badin,19,0.0857,32.56,53.7018,2182111,9,1,6726,0.35,3087,3091,77
2025,Dadu,19,0,34.97,31.9305,1873835,40,2,19070,0.35,3007,1795,77
