Year,District,week_index,Avg_rainfall,Avg_Temperature,Avg_Humidity,Population,Elevation_m_y,River_Status_y,Area_sq_km_y,Sanitation_Index_y,Malaria_cases,AD_cases,Typhoid_cases,Flood_Inundation,Mean_NDVI,Stagnant_Water
2024,Gwadar,18,0.0143,27.6905,75.7175,317947.0,12.0,0.0,12637.0,0.35,82,500,8,0.7087802023172218,0.05237563342665,0.6755674718103095
2024,Harnai,18,,,,0.0,,,,,50,81,0,,,
2024,Hub,18,0.0,29.6561,46.5397,461810.0,,,,,165,210,0,,,
2024,Jaffarabad,18,,,,621388.0,55.0,1.0,1643.0,0.2,335,252,0,0.7802569468512811,0.111793006711054,0.7102167220422668
2024,Jhal Magsi,18,,,,180130.0,60.0,0.0,3615.0,0.2,331,276,0,0.7891349303519749,0.1063356599474078,0.7587698726194949
2024,Kachhi (Bolan),18,0.0,24.553,21.6081,417079.0,,,,,122,140,1,,,
2024,Kalat,18,0.1286,14.7146,33.089,498077.0,2000.0,0.0,7654.0,0.2,21,30,0,0.3141620665751409,0.1088599143368198,0.2484041927129784
2024,Kech (Turbat),18,,,,1098914.0,,,,,187,453,280,,,
2024,Kharan,18,0.0,24.044,29.3924,188592.0,700.0,0.0,14958.0,0.2,37,167,0,0.7296034963118706,0.0579461073275491,0.6893171507536159
2024,Khuzdar,18,0.1,22.3955,24.0769,969559.0,1237.0,0.0,35380.0,0.2,52,92,0,0.1108527406385892,0.0982930141207831,0.0791622601658658
2024,Killa Saifullah,18,0.1,18.6365,32.1941,413453.0,1500.0,0.0,6831.0,0.2,137,132,0,0.647700172831679,0.0856378847084917,0.4955409222334363
2024,Kohlu,18,0.0143,23.266,24.4235,258710.0,1000.0,0.0,7610.0,0.2,96,192,0,0.1804571779688657,0.1116370945461356,0.1541778271954414
2024,Lasbella,18,0.0,28.2981,48.6162,697550.0,,,,,322,309,2,,,
2024,Loralai,18,0.0571,19.7243,29.4057,479944.0,1400.0,0.0,3785.0,0.2,25,158,0,0.2659327577046257,0.1258265461043377,0.2264569826441262
2024,Mastung,18,0.0857,16.1825,38.7387,321574.0,1700.0,0.0,3308.0,0.2,46,138,0,0.4294294207202127,0.1136175518399896,0.3241322039629878
2024,Naseerabad,18,0.0,30.9316,17.8842,592374.0,,,,,148,274,0,,,
2024,Panjgur,18,0.0714,24.0115,27.3599,382021.0,900.0,0.0,16891.0,0.2,145,235,0,0.4682638880164376,0.0626708588260888,0.3802302388635458
2024,Pishin,18,0.4571,14.7801,52.4128,889769.0,1550.0,0.0,6218.0,0.2,9,76,0,0.7759822335705692,0.0855599016040109,0.4131794318204909
2024,Quetta,18,0.2571,15.6605,44.8966,2751515.0,1680.0,0.0,3447.0,0.75,5,266,0,0.5450500528723178,0.0960661568781207,0.4100232835621998
2024,Sherani,18,,,,0.0,1500.0,0.0,2700.0,0.2,11,17,0,,,
2024,Sibi,18,0.0,26.9879,35.3818,163205.0,130.0,0.0,7121.0,0.2,264,205,0,0.2139372420056167,0.1225740622970988,0.1650588943177761
2024,Sohbat pur,18,0.0,30.7416,18.4581,241785.0,,,,,346,197,0,,,
2024,Surab,18,0.0571,16.316,28.608,0.0,,,,,12,55,0,,,
2024,Usta Muhammad,18,0.0,30.3157,18.7582,314321.0,,,,,384,468,0,,,
2024,Washuk,18,0.2571,19.7069,26.8577,212771.0,700.0,0.0,33093.0,0.2,15,76,0,,,
2024,Zhob,18,0.2286,18.1581,44.9539,374767.0,1400.0,0.0,20297.0,0.2,42,124,0,0.4636254026519421,0.0950729294342017,0.5037737541542153
2024,Abbottabad,18,5.6714,16.4167,66.1643,1611498.0,1256.0,0.0,1967.0,0.75,4,518,12,,,
2024,Bajaur,18,3.3429,14.9616,60.9705,1321356.0,900.0,0.0,1290.0,0.2,85,145,9,,0.2970854048293178,
2024,Bannu,18,0.3714,21.8017,56.8,1410816.0,312.0,1.0,1227.0,0.2,1316,763,33,0.4155587924749333,0.1655090679961864,
2024,Battagram,18,6.1,16.4966,62.6087,575449.0,1036.0,0.0,1301.0,0.2,0,96,0,,,
2024,Buner,18,1.1571,19.2663,61.0173,1084406.0,700.0,0.0,1865.0,0.35,216,338,2,,0.3364659937357771,
2024,Chitral Lower,18,0.7429,11.1205,55.5206,336081.0,1500.0,1.0,6458.0,0.35,3,178,4,0.0528955768353853,0.0043072836537184,
2024,Chitral Upper,18,0.7429,11.1205,55.5206,204308.0,2500.0,1.0,8392.0,0.2,3,78,1,0.0528955768353853,0.0043072836537184,
2024,D.I. Khan,18,0.2143,24.2942,51.4615,2050338.0,,,,,258,2208,38,,,
2024,Dir Lower,18,0.5429,21.6033,57.1949,1734809.0,800.0,1.0,1583.0,0.35,324,890,20,,,
2024,Dir Upper,18,2.3,13.5143,56.3251,1143644.0,1200.0,1.0,3699.0,0.35,8,346,20,,,
2024,Hangu,18,3.7143,18.1905,60.2874,627433.0,900.0,0.0,1097.0,0.2,11,6,0,0.1795044535688522,0.2450720319197545,
2024,Haripur,18,5.0143,19.5193,66.8085,1212553.0,605.0,2.0,1725.0,0.65,17,1206,15,,0.2922353576588502,
2024,Karak,18,1.0286,20.5563,58.1158,853502.0,500.0,0.0,3372.0,0.2,136,277,11,0.5660257448171179,0.1619360429925119,
2024,Khyber,18,1.6143,18.693,59.8357,1193210.0,1000.0,0.0,2576.0,0.2,126,265,14,0.1177587597509463,0.2357487718928265,
2024,Kohat,18,0.4143,21.1814,50.6283,1200463.0,500.0,0.0,2545.0,0.65,66,65,0,0.1207199733602845,0.2083728987921274,
2024,Kohistan Lower,18,0.0143,-4.7813,84.3388,244203.0,1500.0,2.0,1200.0,0.2,1,108,0,,-0.0036418004350922,
2024,Kohistan Upper,18,0.0143,-4.7813,84.3388,369931.0,2500.0,2.0,4000.0,0.2,3,482,39,,-0.0036418004350922,
2024,Kolai Palas,18,0.0143,-4.7813,84.3388,331246.0,,,,,6,64,0,,,
2024,L & C Kurram,18,3.3571,8.1137,73.7402,604463.0,,,,,6,6,0,,,
2024,Lakki Marwat,18,0.5714,21.8016,59.927,1059019.0,250.0,1.0,3164.0,0.2,129,717,17,0.7189941741756272,0.1258188646249285,
2024,Malakand,18,2.8571,19.3385,58.3993,870427.0,700.0,1.0,952.0,0.2,12,621,4,,0.2872942315444861,
2024,Mansehra,18,3.6857,16.3264,64.9609,1881089.0,1000.0,0.0,4579.0,0.2,3,599,13,,0.3178665762475878,
