feature,importance
Typhoid_cases,56.7611701090841
Population,21.578320215727988
Typhoid_Risk_roll3,12.842048884427973
Typhoid_Risk_roll5,2.0009219071951962
Typhoid_Risk_lag2,1.373275403713305
Typhoid_Risk_lag1,1.124049722299546
AD_cases,0.9604973622942996
Sanitation_Index,0.6516594533563731
Malaria_Risk,0.2745677160410783
River_Status,0.2738993984639351
AD_Risk_roll3,0.16533282079166373
Elevation_m,0.14259552546442267
Area_sq_km,0.1379270540944034
Avg_Temperature_lag1,0.1340206200694261
Avg_Temperature_roll3,0.12553471048692608
AD_Risk_lag1,0.12075590982113729
AD_Risk,0.10994128093852093
Malaria_Risk_lag2,0.10571174789450238
Avg_rainfall_roll3,0.10557120756290711
Avg_Humidity_roll5,0.09717370935559538
Avg_Humidity,0.0916648346883473
Avg_rainfall_lag1,0.08133413015482319
Avg_rainfall_roll5,0.07770421547215518
Avg_Humidity_lag1,0.06391018343821883
Avg_Temperature_roll5,0.06333609437912578
Avg_Temperature_lag2,0.059943242539084736
Malaria_Risk_roll3,0.05912052468531153
Avg_rainfall,0.056594550842331816
Malaria_Risk_roll5,0.05288273608919263
Avg_rainfall_lag2,0.04771450464992807
Avg_Temperature,0.044956874171121264
Malaria_cases,0.04178602309316681
AD_Risk_lag2,0.03887719898139651
Malaria_Risk_lag1,0.03527570537985743
Avg_Humidity_roll3,0.03434530131267706
Avg_Humidity_lag2,0.02376509195490039
AD_Risk_roll5,0.02117430907727567
District,0.02063972000780904
