target,model_path,mae,rmse,r2,train_rows,test_rows
Malaria_Risk,outputs/models\catboost_Malaria_Risk_20251208T214906Z.cbm,2.98011343299589,5.012248602058533,0.7392755016694361,3067,1272
AD_Risk,outputs/models\catboost_AD_Risk_20251208T214906Z.cbm,2.3654761015270673,3.240338698482806,0.624860522347998,3067,1272
Typhoid_Risk,outputs/models\catboost_Typhoid_Risk_20251208T214906Z.cbm,0.21303884235939635,0.31046621075855324,0.25043397241712984,3067,1272
