feature,importance
Malaria_Risk,38.555360171945516
Malaria_cases,16.328261875802447
AD_Risk_next_week,12.581688491986553
District,3.7917874059767427
AD_cases,3.0335693157414463
AD_Risk,2.913458461163411
Elevation_m,2.7105022771235494
Population,2.5877551888482513
Area_sq_km,2.576995355066043
Typhoid_Risk_next_week,1.534431022146666
Typhoid_Risk,1.0495431290776054
Avg_Temperature_roll5,1.0008648592085014
River_Status,0.977715510543835
Avg_Temperature,0.945220564282125
Avg_Humidity_roll5,0.9327116449319935
Avg_Humidity_lag2,0.8864854250124605
Avg_rainfall_lag2,0.879969606385879
Avg_Temperature_lag2,0.8480948039912573
Avg_Humidity,0.8076154252545996
Avg_Temperature_lag1,0.7267080181796276
Avg_rainfall,0.6916278861572905
Avg_rainfall_lag1,0.5926376187220999
Avg_rainfall_roll5,0.5748781820863981
Avg_rainfall_roll3,0.49785185998639964
Avg_Humidity_lag1,0.4968945250761751
Sanitation_Index,0.4149791235160006
Avg_Humidity_roll3,0.3988608127128453
Avg_Temperature_roll3,0.3628312829257931
Typhoid_cases,0.3007001561485264
