feature,importance
Typhoid_Risk,36.07006461617496
Malaria_Risk_next_week,9.438121239805286
District,7.834076252133218
Typhoid_cases,5.301855218394694
Population,4.534628214657369
AD_Risk_next_week,3.6416453648283786
Avg_Temperature,2.4796020892902906
Elevation_m,2.4543722961024734
AD_cases,1.8737659879591
Avg_Humidity_lag2,1.7549090424196179
Area_sq_km,1.7529181605773572
Avg_Temperature_roll5,1.7258387517351643
Avg_Humidity_roll3,1.7225069043694496
Avg_Humidity,1.7197789749337984
Avg_Temperature_lag1,1.7018500550920712
Malaria_Risk,1.6283662188160204
Avg_Humidity_lag1,1.5311434241228952
Avg_rainfall_roll3,1.4924867513089348
Malaria_cases,1.4869213944462973
Avg_Humidity_roll5,1.4744759530283256
Avg_Temperature_lag2,1.3141211491566451
Avg_Temperature_roll3,1.1341524251978907
Avg_rainfall_lag1,1.1127477785258333
AD_Risk,1.090683074886936
Avg_rainfall,0.9680152758388716
Avg_rainfall_roll5,0.9348368428849263
Avg_rainfall_lag2,0.6152291432844301
River_Status,0.6057548045004724
Sanitation_Index,0.6051325955283123
