feature,importance
District,41.00948123833822
Elevation_m_y,18.69037243643878
Area_sq_km_y,6.651280204460878
Population,5.0418430286108675
Avg_Humidity_roll5,3.4687090036738573
Avg_Humidity_lag2,2.9513319929838175
River_Status_y,2.275172030149174
Avg_rainfall_roll5,1.950743596305711
Sanitation_Index_y,1.457935801416707
Avg_Humidity_lag1,1.303920202295945
Avg_Temperature_roll5,1.2730105463375216
Mean_NDVI_roll5,1.210630909265711
Avg_Temperature,1.0613098419149378
Stagnant_Water_roll3,0.8192363371349072
Flood_Inundation,0.758105793559442
Stagnant_Water_lag1,0.6835752347383461
Avg_Temperature_lag2,0.6610565024273927
Avg_Temperature_roll3,0.6351882262911751
Mean_NDVI_roll3,0.6277046674063842
Flood_Inundation_lag1,0.6163807413955978
Mean_NDVI_lag2,0.5503186781595288
Mean_NDVI,0.5335242553097684
Avg_Temperature_lag1,0.5216297929101956
Avg_Humidity,0.5001676234202813
Avg_rainfall_lag1,0.49312879649557895
Flood_Inundation_lag2,0.4878229986797139
Avg_rainfall_lag2,0.4823703670333917
Stagnant_Water_roll5,0.4657092982443421
Flood_Inundation_roll5,0.46290165428619995
Avg_Humidity_roll3,0.42069157632838494
Mean_NDVI_lag1,0.40444709176467314
Flood_Inundation_roll3,0.3533381489536993
Avg_rainfall_roll3,0.33409140917504637
Avg_rainfall,0.32472865036824805
Stagnant_Water_lag2,0.2631348936543986
Stagnant_Water,0.25500643007115226
