target,model_path,mae,rmse,r2,train_rows,test_rows
Malaria_Risk,outputs/models\catboost_Malaria_Risk_20251208T220159Z.cbm,0.5870966047193392,1.4813031652467903,0.9772278238065769,3067,1272
AD_Risk,outputs/models\catboost_AD_Risk_20251208T220159Z.cbm,0.24105735201167594,0.424459069361999,0.9935629988095728,3067,1272
Typhoid_Risk,outputs/models\catboost_Typhoid_Risk_20251208T220159Z.cbm,0.008832794537258947,0.028478898221910742,0.9936929310377128,3067,1272
