feature,importance
AD_Risk,69.88079463668414
District,6.762892222772005
AD_cases,3.2686849024686286
Population,2.3723153517100144
River_Status_y,1.6015505431161592
Elevation_m_y,1.1352541485361531
Avg_Humidity,1.1318622370764433
Avg_Temperature_lag2,0.9087087804961463
Flood_Inundation,0.7474920990646614
Sanitation_Index_y,0.6765177973458895
Mean_NDVI_lag2,0.6635875778348733
Avg_Humidity_roll5,0.6566311309854744
Avg_Humidity_lag1,0.6057944047910182
Flood_Inundation_roll5,0.5924570253276379
Mean_NDVI_roll3,0.5796388351017402
Stagnant_Water_lag1,0.5714012667382878
Area_sq_km_y,0.5616356769733045
Stagnant_Water,0.5588002393372011
Flood_Inundation_lag1,0.48747192107316223
Mean_NDVI_roll5,0.46656634631018595
Stagnant_Water_roll3,0.45397517597442977
Avg_Temperature_roll3,0.4200768535985281
Avg_Temperature,0.41991771665640115
Avg_Humidity_roll3,0.4112580284629367
Mean_NDVI,0.41077998346938344
Avg_rainfall_lag1,0.404819240991276
Avg_Temperature_lag1,0.3921491506657698
Flood_Inundation_lag2,0.36812258974674966
Stagnant_Water_roll5,0.3523145077385367
Avg_rainfall_roll3,0.34487066467481897
Avg_Humidity_lag2,0.3049844897577912
Flood_Inundation_roll3,0.29048727130752894
Mean_NDVI_lag1,0.27331017937864044
Avg_Temperature_roll5,0.22485832694771585
Stagnant_Water_lag2,0.21704461335909014
Avg_rainfall_roll5,0.17718140618723538
Avg_rainfall,0.16195562793230317
Avg_rainfall_lag2,0.1418370294077166
