feature,importance
Malaria_Risk,14.913775265243121
District,14.484422040614438
Population,10.807443963891027
AD_Risk,7.170502013146377
Elevation_m,6.468371762626582
Avg_rainfall_roll5,5.088845030111342
Area_sq_km,4.571204742129353
Avg_Temperature_lag2,3.6978583952480144
Avg_Temperature,3.584960758852595
Avg_rainfall_roll3,3.316945213553639
Avg_Temperature_roll5,2.6930533989390173
Avg_Humidity_roll3,2.45046643016363
Avg_Humidity_roll5,2.3609400430507415
Avg_Temperature_roll3,2.285662708958552
Avg_Humidity,2.1670020268611845
River_Status,2.1466390809411737
Avg_Humidity_lag1,2.0267074313756286
Avg_Humidity_lag2,2.000144245297662
Avg_rainfall_lag1,1.74290654991521
Sanitation_Index,1.6996232460245555
Avg_Temperature_lag1,1.5462972152380556
Avg_rainfall,1.4078720061969618
Avg_rainfall_lag2,1.3683564316211458
