feature,importance
Malaria_cases,38.487352023546485
Malaria_Risk_roll3,28.461710276676072
Population,9.009110148970116
Malaria_Risk_lag1,5.558921779552629
Malaria_Risk_roll5,3.7540064796936012
AD_Risk,3.379174245261456
Malaria_Risk_lag2,2.760676534012409
Area_sq_km,1.3071115404509603
AD_Risk_roll3,0.7551420640801563
AD_Risk_lag2,0.580374355779906
AD_Risk_lag1,0.4771347632227372
AD_cases,0.4015628493451964
Sanitation_Index,0.38384313965454947
Avg_rainfall_roll5,0.3398958884633201
Avg_Humidity_roll5,0.33153555056179745
AD_Risk_roll5,0.3132728058181792
Avg_Temperature_lag1,0.30091404751162404
Avg_Temperature,0.2795317736479782
Avg_Humidity_roll3,0.2686106833331279
Typhoid_Risk,0.2529997126257055
Avg_Temperature_roll3,0.24531560846401473
Avg_Humidity,0.2424253228503801
Avg_rainfall_roll3,0.24187457065131152
Avg_Humidity_lag1,0.2122880728566045
Typhoid_Risk_roll5,0.21049364449270105
River_Status,0.2097491304083974
Elevation_m,0.15360147136379426
Avg_Temperature_roll5,0.15212671677012632
Avg_rainfall_lag2,0.13986481403138853
Avg_rainfall_lag1,0.12955602534906194
Avg_Humidity_lag2,0.12187825327150713
Avg_Temperature_lag2,0.12001840821859122
Typhoid_Risk_roll3,0.0980557585579812
Typhoid_Risk_lag1,0.09741041519452708
Avg_rainfall,0.0918651595450432
Typhoid_Risk_lag2,0.06689354496595953
Typhoid_cases,0.06367607841994884
District,2.634238063991794e-05
