feature,importance
AD_cases,55.82308953475648
Population,33.30753917331857
Malaria_Risk,2.6689022875263735
Elevation_m,2.1742179344111823
District,1.1813689209647702
River_Status,1.167016995809324
Malaria_cases,0.6286944208665342
Area_sq_km,0.46814525281596603
Sanitation_Index,0.360452942510878
Typhoid_Risk,0.283100335039342
Avg_Temperature_lag2,0.24636912041165582
Avg_Humidity_roll5,0.244958467574775
Avg_Humidity,0.22201932420957804
Avg_Temperature_roll3,0.21895961357447483
Avg_Humidity_lag2,0.16562549437890545
Avg_rainfall_lag2,0.1524639567200271
Typhoid_cases,0.12596257335772748
Avg_rainfall_roll5,0.10567574309507245
Avg_Temperature,0.10131815269478082
Avg_Humidity_lag1,0.09746367761842302
Avg_Temperature_lag1,0.07606169457045286
Avg_Humidity_roll3,0.0637106942400835
Avg_Temperature_roll5,0.04576310202020591
Avg_rainfall_lag1,0.029882950892331873
Avg_rainfall_roll3,0.021914882628302927
Avg_rainfall,0.019322753993800217
