feature,importance
District,20.95912379452075
Malaria_Risk,20.55444282938374
Population,8.96999196387134
Elevation_m,7.390024436256809
River_Status,5.983159121098589
Typhoid_Risk,5.538902672920733
Area_sq_km,3.9380183797926067
Sanitation_Index,2.9401335026119813
Avg_Humidity_roll5,2.332616448999898
Avg_Temperature_roll5,2.2181683193465545
Avg_Humidity,2.1858142353464856
Avg_Humidity_lag1,2.066614239718728
Avg_Humidity_lag2,2.031738473464885
Avg_Humidity_roll3,1.872442219911
Avg_rainfall_roll5,1.7027813469598194
Avg_Temperature_roll3,1.5904445272589407
Avg_Temperature,1.5112013450269344
Avg_Temperature_lag1,1.2979077559830585
Avg_rainfall_lag2,1.2789681446787564
Avg_rainfall_roll3,1.0852626904366964
Avg_Temperature_lag2,0.9323769337253776
Avg_rainfall_lag1,0.8215376335458672
Avg_rainfall,0.7983289851404367
