Year,District,Avg_Rainfall,Avg_Temperature,Avg_Humidity
2022,East Karachi,4.839411764705881,28.234967320261443,80.91980392156862
2022,West Karachi,4.839411764705881,28.234967320261443,80.91980392156862
2022,South Karachi,4.839411764705881,28.234967320261443,80.91980392156862
2022,Central Karachi,4.839411764705881,28.234967320261443,80.91980392156862
2022,Malir Karachi,4.839411764705881,28.234967320261443,80.91980392156862
2022,Korangi Karachi,4.839411764705881,28.234967320261443,80.91980392156862
2022,Hyderabad,4.917581699346405,29.24660130718955,72.15509803921572
2022,Jamshoro,4.917581699346405,29.24660130718955,72.15509803921572
2022,Dadu,7.85875816993464,29.800000000000004,66.06241830065362
2022,Matiari,4.978431372549019,29.86183006535949,71.07235294117655
2022,Tando Allahyar,4.978431372549019,29.86183006535949,71.07235294117655
2022,Tando Muhammad Khan,4.84777777777778,29.77751633986927,71.20333333333332
2022,Thatta,7.8831372549019605,27.261437908496728,67.79901960784322
2022,Sujawal,5.47437908496732,29.218300653594774,74.33732026143784
2022,Badin,5.5669281045751635,29.504183006535925,72.47771241830068
2022,Sukkur,9.760718954248368,30.530196078431374,66.93294117647058
2022,Khairpur,9.760718954248368,30.530196078431374,66.93294117647058
2022,Ghotki,7.449346405228757,30.733529411764703,65.58777777777775
2022,Shaheed Benazirabad,6.596143790849674,30.422549019607843,67.70993464052287
2022,Naushehro Feroze,7.39954248366013,30.645228758169935,66.4851633986928
2022,Sanghar,5.414771241830065,30.15699346405229,69.65058823529412
2022,Larkana,8.017516339869282,30.887908496732027,65.0266666666667
2022,Kambar Shahdadkot,8.017516339869282,30.887908496732027,65.0266666666667
2022,Shikarpur,11.943594771241829,30.854379084967306,65.60882352941178
2022,Jacobabad,12.041699346405228,31.014379084967324,63.55235294117649
2022,Kashmore,8.700653594771241,30.661960784313724,64.12379084967321
2022,Mirpur Khas,4.978431372549019,29.86183006535949,71.07235294117655
2022,Umer Kot,3.7796732026143802,30.682810457516347,58.429019607843095
2022,Tharparkar,5.081307189542484,29.811699346405238,67.52464052287581
2022,Dera Ghazi Khan,3.440980392156861,31.051568627450994,55.53522875816993
2022,Rajanpur,4.019215686274509,31.139215686274486,60.837973856209146
2022,Muzaffargarh,2.919084967320262,31.845686274509806,55.15679738562096
2022,Layyah,3.171241830065359,32.0048366013072,52.23954248366013
2022,Bahawalpur,2.677516339869282,31.861437908496733,54.18183006535948
2022,Bahawalnagar,2.951568627450978,31.564379084967317,54.20078431372551
2022,Rahim Yar Khan,5.868496732026145,30.723856209150345,64.45509803921571
2022,Mianwali,3.7594117647058813,30.47718954248365,57.46013071895426
2022,Khushab,4.673006535947709,29.016274509803925,62.54058823529414
2022,Sargodha,4.001503267973853,30.931372549019603,58.27150326797386
2022,Chiniot,3.4666666666666663,31.096274509803926,56.161960784313685
2022,Jhang,3.621830065359476,31.167189542483676,56.60241830065361
2022,Khanewal,3.014967320261438,31.74712418300652,55.366601307189505
2022,Multan,2.919084967320262,31.845686274509806,55.15679738562096
2022,Vehari,2.8918300653594775,31.650915032679716,54.720718954248355
2022,Lodhran,2.677516339869282,31.861437908496733,54.18183006535948
2022,Okara,3.6184313725490167,30.919019607843122,57.176601307189536
2022,Sheikhupura,3.7796732026143802,30.682810457516347,58.429019607843095
2022,Hafizabad,4.726339869281046,30.03535947712418,62.729281045751634
2022,Gujranwala,5.461307189542479,29.649084967320242,65.06555555555559
2022,Swat,4.458169934640526,26.715032679738552,61.96960784313727
2022,Nowshera,4.869150326797386,28.150522875817003,62.47078431372548
2022,Charsadda,4.869150326797386,28.150522875817003,62.47078431372548
2022,Upper Dir,2.5878431372549016,13.311830065359477,61.268888888888874
2022,Lower Dir,3.78549019607843,20.24803921568628,65.35522875816994
2022,Peshawar,4.869150326797386,28.150522875817003,62.47078431372548
2022,Shangla,4.03888888888889,15.276209150326792,72.35882352941178
2022,Kohistan,6.894052287581697,29.282156862745097,66.47986928104575
2022,Dera Ismail Khan,3.3574509803921564,30.933594771241818,54.361960784313695
2022,Bannu,3.1536601307189547,28.007712418300663,55.73980392156863
2022,Lakki Marwat,3.393464052287581,29.1345751633987,55.78411764705882
2022,Chitral,1.3637254901960785,7.860784313725493,51.414117647058795
2022,Kurram,2.833464052287583,24.028758169934626,57.55196078431373
2022,Tank,3.3574509803921564,30.933594771241818,54.361960784313695
2022,Hangu,3.529673202614379,26.91052287581699,60.105490196078414
2022,Lasbela,4.897516339869278,27.748888888888896,79.81346405228756
2022,Jhal Magsi,9.642614379084966,30.04712418300654,58.229215686274486
2022,Sohbatpur,12.309084967320262,31.000784313725507,63.151895424836624
2022,Washuk,2.04875816993464,25.69006535947713,44.047973856209154
2022,Dera Allah Yar,12.041699346405228,31.014379084967324,63.55235294117649
2022,Kharan,2.447712418300654,26.937058823529423,39.869607843137274
2022,Kalat,4.1129411764705885,21.36915032679739,53.10326797385621
2022,Naseerabad,4.839411764705881,28.234967320261443,80.91980392156862
2022,Barkhan,4.442941176470589,24.07993464052287,62.928431372549014
2022,Sibi,6.525882352941177,29.656535947712417,59.50549019607845
2022,Loralai,3.3664705882352943,22.92803921568627,55.8702614379085
2022,Kachi,0.4128758169934642,2.5105882352941165,50.86745098039215
2022,Musakhel,2.882549019607844,24.87424836601306,57.600980392156856
