Year,District,Latitude,Longitude,Avg_Rainfall,Avg_Temperature,Avg_Humidity,Population_Density,People_Displaced,Fatalities,Cholera_Cases,Malaria_Cases,Dengue_Cases,Month_Index,Flood_Duration_Days,Flood_Marker,Waterbody_Proximity,Flood_Severity_Index
2022,Badin,24.6551671,68.8401509,5.566928104575164,29.504183006535925,72.47771241830068,,,,,,,6,30,1,5000,0.11
2022,Badin,24.6551671,68.8401509,5.566928104575164,29.504183006535925,72.47771241830068,,,,,,,7,30,1,5000,0.11
2022,Badin,24.6551671,68.8401509,5.566928104575164,29.504183006535925,72.47771241830068,,,,,,,8,30,1,5000,0.11
2022,Badin,24.6551671,68.8401509,5.566928104575164,29.504183006535925,72.47771241830068,,,,,,,9,30,1,5000,0.11
2022,Badin,24.6551671,68.8401509,5.566928104575164,29.504183006535925,72.47771241830068,,,,,,,10,30,1,5000,0.11
2022,Bahawalnagar,29.9935922,73.2527621,2.951568627450978,31.56437908496732,54.20078431372551,,,,,,,6,30,1,5000,0.06
2022,Bahawalnagar,29.9935922,73.2527621,2.951568627450978,31.56437908496732,54.20078431372551,,,,,,,7,30,1,5000,0.06
2022,Bahawalnagar,29.9935922,73.2527621,2.951568627450978,31.56437908496732,54.20078431372551,,,,,,,8,30,1,5000,0.06
2022,Bahawalnagar,29.9935922,73.2527621,2.951568627450978,31.56437908496732,54.20078431372551,,,,,,,9,30,1,5000,0.06
2022,Bahawalnagar,29.9935922,73.2527621,2.951568627450978,31.56437908496732,54.20078431372551,,,,,,,10,30,1,5000,0.06
2022,Bahawalpur,29.40295,71.6523454,2.677516339869282,31.861437908496733,54.18183006535948,,,,,,,6,30,1,5000,0.05
2022,Bahawalpur,29.40295,71.6523454,2.677516339869282,31.861437908496733,54.18183006535948,,,,,,,7,30,1,5000,0.05
2022,Bahawalpur,29.40295,71.6523454,2.677516339869282,31.861437908496733,54.18183006535948,,,,,,,8,30,1,5000,0.05
2022,Bahawalpur,29.40295,71.6523454,2.677516339869282,31.861437908496733,54.18183006535948,,,,,,,9,30,1,5000,0.05
2022,Bahawalpur,29.40295,71.6523454,2.677516339869282,31.861437908496733,54.18183006535948,,,,,,,10,30,1,5000,0.05
2022,Bannu,32.9857007,70.6036017,3.1536601307189547,28.007712418300663,55.73980392156863,,,,,,,6,30,1,5000,0.06
2022,Bannu,32.9857007,70.6036017,3.1536601307189547,28.007712418300663,55.73980392156863,,,,,,,7,30,1,5000,0.06
2022,Bannu,32.9857007,70.6036017,3.1536601307189547,28.007712418300663,55.73980392156863,,,,,,,8,30,1,5000,0.06
2022,Bannu,32.9857007,70.6036017,3.1536601307189547,28.007712418300663,55.73980392156863,,,,,,,9,30,1,5000,0.06
2022,Bannu,32.9857007,70.6036017,3.1536601307189547,28.007712418300663,55.73980392156863,,,,,,,10,30,1,5000,0.06
2022,Barkhan,29.9003125,69.5230398,4.442941176470589,24.07993464052287,62.92843137254901,,,,,,,6,30,1,5000,0.09
2022,Barkhan,29.9003125,69.5230398,4.442941176470589,24.07993464052287,62.92843137254901,,,,,,,7,30,1,5000,0.09
2022,Barkhan,29.9003125,69.5230398,4.442941176470589,24.07993464052287,62.92843137254901,,,,,,,8,30,1,5000,0.09
2022,Barkhan,29.9003125,69.5230398,4.442941176470589,24.07993464052287,62.92843137254901,,,,,,,9,30,1,5000,0.09
2022,Barkhan,29.9003125,69.5230398,4.442941176470589,24.07993464052287,62.92843137254901,,,,,,,10,30,1,5000,0.09
2022,Central Karachi,24.9240802,67.1138217,4.839411764705881,28.234967320261443,80.91980392156862,,,,,,,6,30,1,5000,0.1
2022,Central Karachi,24.9240802,67.1138217,4.839411764705881,28.234967320261443,80.91980392156862,,,,,,,7,30,1,5000,0.1
2022,Central Karachi,24.9240802,67.1138217,4.839411764705881,28.234967320261443,80.91980392156862,,,,,,,8,30,1,5000,0.1
