year,district,week_index,avg_rainfall,avg_temperature,avg_humidity,population,elevation_m,river_status,area_sq_km,sanitation_index,flood_inundation,mean_ndvi,stagnant_water,malaria_risk,ad_risk,typhoid_risk,malaria_risk_next_week,ad_risk_next_week,typhoid_risk_next_week,avg_rainfall_lag1,avg_rainfall_lag2,avg_temperature_lag1,avg_temperature_lag2,avg_humidity_lag1,avg_humidity_lag2,flood_inundation_lag1,flood_inundation_lag2,stagnant_water_lag1,stagnant_water_lag2,mean_ndvi_lag1,mean_ndvi_lag2,malaria_risk_lag1,malaria_risk_lag2,ad_risk_lag1,ad_risk_lag2,typhoid_risk_lag1,typhoid_risk_lag2,avg_rainfall_roll3,avg_rainfall_roll5,avg_temperature_roll3,avg_temperature_roll5,avg_humidity_roll3,avg_humidity_roll5,flood_inundation_roll3,flood_inundation_roll5,stagnant_water_roll3,stagnant_water_roll5,mean_ndvi_roll3,mean_ndvi_roll5,malaria_risk_roll3,malaria_risk_roll5,ad_risk_roll3,ad_risk_roll5,typhoid_risk_roll3,typhoid_risk_roll5
2024,Abbottabad,18,5.6714,16.4167,66.1643,1611498,1256,0,1967,0.75,0,0,0,0.024821625593081716,3.214400514304082,0.074464877,0.024821625593081716,3.214400514304082,0.099286502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Abbottabad,19,0.9143,22.7533,48.1825,1611498,1256,0,1967,0.75,0.1410771017821588,0.3625330674338531,0,0.024821625593081716,3.214400514304082,0.099286502,0.024821625593081716,3.214400514304082,0.062054064,5.6714,0,16.4167,0,66.1643,0,0,0,0,0,0,0,0.024821625593081716,0,3.214400514304082,0,0.074464877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Abbottabad,20,0.1429,23.9194,41.1947,1611498,1256,0,1967,0.75,0.084404824,0.3765073225219923,0.042577028,0.024821625593081716,3.214400514304082,0.062054064,0.5957190142339612,7.347201175552188,0.1489297535584903,0.9143,5.6714,22.7533,16.4167,48.1825,66.1643,0.1410771017821588,0,0,0,0.3625330674338531,0,0.024821625593081716,0.024821625593081716,3.214400514304082,3.214400514304082,0.099286502,0.074464877,2.2428666666666666,0,21.029799999999998,0,51.84716666666666,0,0.075160642,0,0.014192342666666668,0,0.24634679665194847,0,0.024821625593081716,0,3.214400514304082,0,0.078601814,0
2024,Abbottabad,21,0.0571,27.0337,32.4533,1611498,1256,0,1967,0.75,0.1503191239177954,0.335821327,0.042382136,0.5957190142339612,7.347201175552188,0.1489297535584903,1.5513515995676075,7.533363367500301,0.018616219,0.1429,0.9143,23.9194,22.7533,41.1947,48.1825,0.084404824,0.1410771017821588,0.042577028,0,0.3765073225219923,0.3625330674338531,0.024821625593081716,0.024821625593081716,3.214400514304082,3.214400514304082,0.062054064,0.099286502,0.37143333333333334,0,24.5688,0,40.610166666666665,0,0.1252670165666514,0,0.028319721333333336,0,0.3582872389852818,0,0.21512075514004156,0,4.592000734720117,0,0.10342343997117383,0
2024,Abbottabad,22,0,27.5021,22.6969,1611498,1256,0,1967,0.75,0.011850894,0.3215389301466145,0.013512405,1.5513515995676075,7.533363367500301,0.018616219,0.19731204618229378,8.012278446759574,0.2466400577278672,0.0571,0.1429,27.0337,23.9194,32.4533,41.1947,0.1503191239177954,0.084404824,0.042382136,0.042577028,0.335821327,0.3765073225219923,0.5957190142339612,0.024821625593081716,7.347201175552188,3.214400514304082,0.1489297535584903,0.062054064,0.066666667,1.35714,26.151733333333336,23.525039999999997,32.11496666666667,42.13834,0.082191614,0.077530389,0.032823856,0.019694313800000002,0.34462252655620224,0.27928012942049196,0.7239640797982169,0.4443070981161628,6.031655019118857,4.904753217192947,0.076533346,0.080670283
2024,Abbottabad,23,2.4714,24.0435,43.3903,1419072,1256,0,1967,0.75,0,0.2920195491648696,0,0.19731204618229378,8.012278446759574,0.2466400577278672,0.084562306,6.010970549767736,0.14093717584449555,0,0.0571,27.5021,27.0337,22.6969,32.4533,0.011850894,0.1503191239177954,0.013512405,0.042382136,0.3215389301466145,0.335821327,1.5513515995676075,0.5957190142339612,7.533363367500301,7.347201175552188,0.018616219,0.1489297535584903,0.8428333333333334,0.71714,26.1931,25.0504,32.846833333333336,37.58354,0.054056672639265134,0.077530389,0.018631513666666665,0.019694313800000002,0.3164599354371614,0.3376840392534659,0.7814608866612875,0.47880518223400526,7.630947663270686,5.864328803684045,0.1380620101603896,0.115105319
2024,Abbottabad,24,0.0714,28.0104,30.7585,1419072,1256,0,1967,0.75,0.198706126,0.3126246578104325,0,0.084562306,6.010970549767736,0.14093717584449555,0.11979659946782123,4.559317638569431,0.126843458,2.4714,0,24.0435,27.5021,43.3903,22.6969,0,0.011850894,0,0.013512405,0.2920195491648696,0.3215389301466145,0.19731204618229378,1.5513515995676075,8.012278446759574,7.533363367500301,0.2466400577278672,0.018616219,0.8476,0.54856,26.51866666666667,26.101819999999996,32.2819,34.09874,0.070185673,0.089056194,0.004504135,0.019694313800000002,0.30872771237397223,0.3277023573287818,0.6110753170855329,0.4907533182167283,7.1855374546758695,6.4236428107767765,0.13539781758905803,0.12343545406167374
2024,Abbottabad,25,1.3571,27.2054,39.9491,1419072,1256,0,1967,0.75,0.096009879,0.337796373,0.01148308,0.11979659946782123,4.559317638569431,0.126843458,1.0922631127948406,8.364621386370812,0.126843458,0.0714,2.4714,28.0104,24.0435,30.7585,43.3903,0.198706126,0,0,0,0.3126246578104325,0.2920195491648696,0.084562306,0.19731204618229378,6.010970549767736,8.012278446759574,0.14093717584449555,0.2466400577278672,1.2999666666666665,0.7914,26.41976666666667,26.75902,38.03263333333334,33.84962,0.098238668,0.091377205,0.003827693,0.013475524,0.3141468599917674,0.3199601674243833,0.13389031705227078,0.5097483129916762,6.194188878,6.692626235629847,0.17147356394413626,0.13639333291714206
2024,Abbottabad,26,0.9143,28.0694,50.1756,1419072,1256,0,1967,0.75,0.1516768628141367,0,0.060281971,1.0922631127948406,8.364621386370812,0.126843458,0.084562306,6.602906688314617,0.14093717584449555,1.3571,0.0714,27.2054,28.0104,39.9491,30.7585,0.096009879,0.198706126,0.01148308,0,0.337796373,0.3126246578104325,0.11979659946782123,0.084562306,4.559317638569431,6.010970549767736,0.126843458,0.14093717584449555,0.7809333333333334,0.9628399999999999,27.761733333333336,26.966160000000002,40.2944,37.394079999999995,0.14879762260471224,0.091648752,0.023921683666666665,0.017055491,0.21680701027014418,0.25279590202438335,0.432207339,0.6090571327038521,6.311636525,6.8961102777935706,0.1315413641215292,0.1319760738574532
2024,Abbottabad,27,6.6571,25.8801,73.8529,1419072,1256,0,1967,0.75,0.009653465,0.2820127336760529,0.013825316,0.084562306,6.602906688314617,0.14093717584449555,0.13389031705227078,8.167309340188517,0.11979659946782123,0.9143,1.3571,28.0694,27.2054,50.1756,39.9491,0.1516768628141367,0.096009879,0.060281971,0.01148308,0,0.337796373,1.0922631127948406,0.11979659946782123,8.364621386370812,4.559317638569431,0.126843458,0.126843458,2.9761666666666664,2.29426,27.05163333333333,26.641759999999998,54.6592,47.62528,0.085780069,0.091209267,0.028530122333333335,0.017118073399999996,0.2066030355586843,0.24489066273027102,0.432207339,0.3156992738916701,6.508948571084954,6.7100189419564344,0.1315413641215292,0.15644026518739004
2024,Abbottabad,28,2.0286,25.6334,69.7435,1419072,1256,0,1967,0.75,0.1479364106577864,0.3670407082460354,0.012534012,0.13389031705227078,8.167309340188517,0.11979659946782123,0.14798403463672033,6.687468993821314,0.16207775222116988,6.6571,0.9143,25.8801,28.0694,73.8529,50.1756,0.009653465,0.1516768628141367,0.013825316,0.060281971,0.2820127336760529,0,0.084562306,1.0922631127948406,6.602906688314617,8.364621386370812,0.14093717584449555,0.126843458,3.1999999999999997,2.2057,26.527633333333338,26.95974,64.59066666666666,52.895920000000004,0.10308891282397437,0.12079654869438464,0.028880432999999997,0.019624875799999997,0.2163511473073628,0.25989489454650416,0.4369052451179362,0.30301492806566543,7.711612471624648,6.741025120642223,0.1291924111907876,0.13107157353538088
2024,Abbottabad,29,2.7286,26.7033,66.0073,1419072,1256,0,1967,0.75,0.012338319,0,0.01505189,0.14798403463672033,6.687468993821314,0.16207775222116988,0.14093717584449555,7.363967437874893,0.23254634014341768,2.0286,6.6571,25.6334,25.8801,69.7435,73.8529,0.1479364106577864,0.009653465,0.012534012,0.013825316,0.3670407082460354,0.2820127336760529,0.13389031705227078,0.084562306,8.167309340188517,6.602906688314617,0.11979659946782123,0.14093717584449555,3.804766666666667,2.73714,26.072266666666668,26.698320000000002,69.8679,59.94568,0.056642732,0.083522987,0.013803739333333334,0.022635253799999998,0.2163511473073628,0.19736996298441764,0.1221455523985628,0.3156992738916701,7.152561674108149,6.876324809452939,0.14093717584449555,0.13529968881071572
2024,Abbottabad,30,2.9143,26.4206,78.3449,1419072,1256,0,1967,0.75,0,0,0,0.14093717584449555,7.363967437874893,0.23254634014341768,0.17617146980561946,6.9552496279258555,0.14798403463672033,2.7286,2.0286,26.7033,25.6334,66.0073,69.7435,0.012338319,0.1479364106577864,0.01505189,0.012534012,0,0.3670407082460354,0.14798403463672033,0.13389031705227078,6.687468993821314,8.167309340188517,0.16207775222116988,0.11979659946782123,2.557166666666667,3.04858,26.252433333333332,26.541359999999997,71.36523333333334,67.62484,0.053424909885928816,0.064321011,0.009195301,0.020338638,0.12234690274867847,0.12981068838441767,0.14093717584449558,0.3199273891670049,7.406248590628242,7.4372547693140305,0.17147356394413626,0.1564402651873901
