district,week,avg_temp_C,avg_humidity_%,avg_rainfall_mm
Badin,38,29.4948,69.5094,0
Dadu,38,31.5099,60.9457,0
Ghotki,38,32.8097,55.5304,0.0429
Hyderabad,38,30.3066,66.7941,0
Jacobabad,38,32.4837,57.4245,0
Jamshoro,38,30.5808,65.5405,0
Kamber,38,31.1881,64.8122,0
Karachi Central,38,28.3014,75.8799,0
Karachi East,38,28.1396,77.3404,0.0286
Karachi Kemari,38,28.2573,76.8604,0.0714
Karachi Korangi,38,28.2014,77.1968,0.0143
Karachi Malir,38,28.3538,76.1216,0
Karachi South,38,27.8366,78.4066,0.0286
Karachi West,38,28.3659,76.1938,0.0571
Kashmore,38,32.8298,54.6388,0
Khairpur,38,32.2129,55.9453,0.0286
Larkana,38,31.7158,61.0803,0
Matiari,38,30.8862,63.6378,0
Mirpurkhas,38,30.6679,64.1908,0
Naushero Feroze,38,30.9165,64.0628,0
Sanghar,38,31.334,59.8996,0
Shaheed Benazirabad,38,31.476,61.2952,0
Shikarpur,38,31.9933,59.8382,0
Sujawal,38,28.8393,73.0587,0
Sukkur,38,32.2553,55.8313,0
Tando Allahyar,38,30.2262,66.439,0
Tando Muhammad Khan,38,29.6564,69.524,0
Tharparkar,38,30.6579,62.2928,0.0714
Thatta,38,28.9959,72.6609,0
Umerkot,38,30.039,66.0977,0
Barkhan,38,28.5253,54.2244,0
Chagai,38,31.8839,13.9582,0
Dera Bugti,38,29.7237,61.2866,0.1
Gwadar,38,27.4943,88.225,0
Hub,38,28.1802,75.9865,0
JhalMagsi,38,31.6758,63.7197,0
Kachhi (Bolan),38,28.9649,48.4157,0.3714
Kalat,38,22.2952,23.0599,0
Kharan,38,32.2354,15.8199,0
Khuzdar,38,27.71,41.7643,0
Killa Abdullah,38,27.9826,15.0052,0
Killa Saifullah,38,25.6743,29.9675,0
Kohlu,38,26.9713,53.0405,0.0429
Lasbella,38,27.0189,81.6119,0.0571
Loralai,38,25.6514,39.4614,0
Mastung,38,24.3,24.6983,0
MusaKhel,38,25.7481,47.0903,0
Naseerabad,38,31.5364,64.2905,0
Nushki,38,30.3633,15.16,0
Panjgur,38,29.5362,40.5762,0
Pishin,38,25.4953,21.1265,0
Quetta,38,24.8679,27.8751,0
Sibi,38,32.8644,54.6235,0
Sohbat pur,38,31.9354,61.579,0
Surab,38,21.9946,35.4613,0
Usta Muhammad,38,31.2564,65.2508,0
Washuk,38,26.1795,33.3791,0
Zhob,38,26.9447,38.7447,0
Abbottabad,38,24.2828,61.5044,0
Bajaur,38,24.9622,37.8295,0
Bannu,38,29.9782,50.7282,0
Battagram,38,24.9594,55.6901,0
Buner,38,26.7699,61.905,0
Charsadda,38,27.3311,68.3894,0
Chitral Lower,38,22.972,41.8387,0.1857
Chitral Upper,38,22.972,41.8387,0.1857
D.I. Khan,38,30.8466,61.5183,0
Dir Lower,38,28.3786,63.8167,0
Dir Upper,38,22.5473,42.871,0
Hangu,38,26.9425,46.3399,0
Haripur,38,26.1417,69.422,0
Karak,38,29.6328,50.3108,0.0143
Khyber,38,27.1112,47.5495,0
Kohat,38,29.007,50.557,0
Kohistan Lower,38,5.4154,64.8228,0.6714
Kohistan Upper,38,5.4154,64.8228,0.6714
Kolai Palas,38,5.4154,64.8228,0.6714
L & C Kurram,38,16.1497,56.8005,0.0857
Lakki Marwat,38,29.6254,58.743,0.0571
Malakand,38,27.5096,49.7752,0
Mansehra,38,24.0162,63.0372,0
Mardan,38,26.9308,70.5089,0
Mohmand,38,27.5096,49.7752,0
North Waziristan,38,14.9134,47.8136,0.0857
Nowshera,38,28.4371,63.8286,0
Orakzai,38,25.2808,48.5298,0.0143
Peshawar,38,28.0421,61.8818,0
SD Tank,38,30.3086,52.1088,0
Shangla,38,20.2318,45.2562,0.1
South Waziristan (Lower),38,27.4527,45.4273,0
SWU,38,27.4527,45.4273,0
Swabi,38,27.0947,69.1998,0
Swat,38,25.031,54.5339,0
Tank,38,30.3086,52.1088,0
Tor Ghar,38,26.7624,68.6055,0
Upper Kurram,38,16.1497,56.8005,0.0857
