district,week,avg_temp_C,avg_humidity_%,avg_rainfall_mm
Badin,32,29.4146,75.6966,0.6125
Dadu,32,31.0859,72.9792,10.025
Ghotki,32,31.4745,73.0946,1.5125
Hyderabad,32,30.0977,73.367,0.125
Jacobabad,32,31.854,72.9006,4.875
Jamshoro,32,29.8865,75.2539,0.1125
Kamber,32,31.4712,74.5772,13.1125
Karachi Central,32,28.7897,79.6365,0.7625
Karachi East,32,28.9216,79.3824,0.65
Karachi Kemari,32,29.0698,78.7861,1.0375
Karachi Korangi,32,28.9835,79.3691,0.85
Karachi Malir,32,28.7549,80.3269,0.6625
Karachi South,32,27.6614,86.0874,2.125
Karachi West,32,29.032,78.8336,1.2625
Kashmore,32,31.4206,73.4896,2.2875
Khairpur,32,31.1082,74.5342,3.9625
Larkana,32,31.5042,73.6213,8.7125
Matiari,32,30.2371,72.8527,0.2
Mirpurkhas,32,30.0979,73.2962,0.2375
Naushero Feroze,32,30.8548,74.9355,9.8125
Sanghar,32,29.6183,77.453,1.6125
Shaheed Benazirabad,32,30.4223,76.0383,6.1
Shikarpur,32,31.5169,73.7569,10.2875
Sujawal,32,29.413,76.1284,0.675
Sukkur,32,31.1285,73.9421,7.6625
Tando Allahyar,32,29.9186,74.0418,0.1
Tando Muhammad Khan,32,29.8946,73.3081,0.3125
Tharparkar,32,28.505,82.1474,2.275
Thatta,32,29.2014,77.9272,0.65
Umerkot,32,29.6686,74.7046,1.3375
Barkhan,32,27.1439,83.9446,3.4625
Chagai,32,34.2361,37.3351,0.1125
Dera Bugti,32,29.0283,83.7938,3.6625
Gwadar,32,28.1959,83.2002,1.4
Hub,32,28.2004,82.4209,0.7625
JhalMagsi,32,31.222,80.7928,13.7625
Kachhi (Bolan),32,27.3693,82.6658,8.0875
Kalat,32,22.8909,68.1846,2.15
Kharan,32,33.2296,46.7253,0.2125
Khuzdar,32,25.6306,82.0431,8.325
Killa Abdullah,32,32.5765,31.431,0.3
Killa Saifullah,32,26.0187,73.8757,2.35
Kohlu,32,26.627,80.3048,4.125
Lasbella,32,27.3279,87.2996,4.55
Loralai,32,25.3774,80.7497,1.3625
Mastung,32,26.8968,56.1707,1.8875
MusaKhel,32,25.5313,78.8378,2.4125
Naseerabad,32,31.7411,73.3971,5.95
Nushki,32,33.5008,39.8287,0.925
Panjgur,32,25.6149,80.5964,1.4625
Pishin,32,30.11,38.6761,0.2125
Quetta,32,27.5022,55.0348,1.825
Sibi,32,31.3908,79.9179,6.8125
Sohbat pur,32,31.8223,72.6544,4.35
Surab,32,22.5367,74.4453,5.45
Usta Muhammad,32,31.629,74.3448,13.0625
Washuk,32,24.0341,76.0098,3.975
Zhob,32,28.3792,61.9284,1.1125
Abbottabad,32,23.9171,89.2687,9.0875
Bajaur,32,23.7904,83.1783,3.9375
Bannu,32,29.6917,78.243,9.375
Battagram,32,25.3008,84.9204,15.35
Buner,32,26.625,83.527,10.75
Charsadda,32,28.4235,81.896,17.4375
Chitral Lower,32,26.9454,59.3812,0.3
Chitral Upper,32,26.9454,59.3812,0.3
D.I. Khan,32,30.9495,77.501,6.225
Dir Lower,32,28.8416,82.8149,13.35
Dir Upper,32,23.9456,80.4691,4.325
Hangu,32,26.7633,82.8996,8.1875
Haripur,32,27.5964,83.7972,12.55
Karak,32,28.2989,81.536,4.8
Khyber,32,25.9721,85.0261,8.2125
Kohat,32,28.2432,80.9284,8.125
Kohistan Lower,32,10.1911,84.089,2.8125
Kohistan Upper,32,10.1911,84.089,2.8125
Kolai Palas,32,10.1911,84.089,2.8125
L & C Kurram,32,19.3538,87.2601,2.875
Lakki Marwat,32,30.2395,76.8144,3.825
Malakand,32,26.4973,83.1574,8.1625
Mansehra,32,24.8538,83.7374,9.25
Mardan,32,28.3084,82.182,15.625
Mohmand,32,26.4973,83.1574,8.1625
North Waziristan,32,17.9062,77.9971,1.5
Nowshera,32,28.9001,82.8213,13.35
Orakzai,32,25.7065,84.661,7.8625
Peshawar,32,28.2547,82.0014,9.675
SD Tank,32,30.6977,76.336,8.9875
Shangla,32,19.3745,90.5102,16.5
South Waziristan (Lower),32,28.024,73.058,0.3625
SWU,32,28.024,73.058,0.3625
Swabi,32,28.0838,82.6538,12.175
Swat,32,25.7287,85.7566,10.675
Tank,32,30.6977,76.336,8.9875
Tor Ghar,32,27.6804,82.8189,11.4625
Upper Kurram,32,19.3538,87.2601,2.875
