district,week,avg_temp_C,avg_humidity_%,avg_rainfall_mm
Badin,37,28.6327,75.2012,1.2385
Dadu,37,30.7894,68.1542,0.0538
Ghotki,37,32.2142,61.4598,0.8538
Hyderabad,37,28.7588,75.5781,1.4923
Jacobabad,37,31.6349,66.8997,0.9308
Jamshoro,37,28.5851,77.1684,1.7
Kamber,37,30.728,71.9712,0.0308
Karachi Central,37,27.5578,80.7004,0.0769
Karachi East,37,27.5577,81.4804,0.1615
Karachi Kemari,37,27.7589,80.6413,0.3385
Karachi Korangi,37,27.6553,81.2302,0.1846
Karachi Malir,37,27.558,81.2325,0.0462
Karachi South,37,27.0225,83.3493,0.3154
Karachi West,37,27.7186,80.454,0.0769
Kashmore,37,32.2481,61.1653,1.8154
Khairpur,37,31.2409,66.1485,0.6846
Larkana,37,31.037,69.4146,0.0538
Matiari,37,29.2635,73.2341,1.9077
Mirpurkhas,37,29.3673,72.5709,1.6846
Naushero Feroze,37,30.2172,72.4486,0.0462
Sanghar,37,29.524,72.7137,1.3846
Shaheed Benazirabad,37,30.1355,71.7337,0.4692
Shikarpur,37,31.2539,67.9542,0.4538
Sujawal,37,28.5445,74.8234,0.1462
Sukkur,37,31.3177,65.5857,0.5769
Tando Allahyar,37,28.9353,74.4423,1.5154
Tando Muhammad Khan,37,28.8133,74.5564,1.7538
Tharparkar,37,28.2678,77.9919,3.7154
Thatta,37,28.2686,77.0179,0.2231
Umerkot,37,29.0458,74.1211,3.5077
Barkhan,37,26.4871,71.5928,1.8308
Chagai,37,30.5464,10.7302,0
Dera Bugti,37,28.443,73.907,0.7077
Gwadar,37,27.5884,85.6767,0
Hub,37,27.3095,81.2129,0.1308
JhalMagsi,37,31.1683,71.6806,0.0231
Kachhi (Bolan),37,26.813,65.697,0.5154
Kalat,37,21.0485,25.9248,0
Kharan,37,30.3891,15.474,0
Khuzdar,37,26.407,41.4333,0.0231
Killa Abdullah,37,27.0697,10.82,0
Killa Saifullah,37,24.0936,48.7529,0.0538
Kohlu,37,25.2123,70.8325,1.7308
Lasbella,37,26.6161,84.2922,0.5692
Loralai,37,23.3587,64.5364,0.3615
Mastung,37,23.2113,25.871,0
MusaKhel,37,23.6967,67.4333,1.0538
Naseerabad,37,30.9827,71.0468,0.3923
Nushki,37,28.9427,12.3892,0
Panjgur,37,28.3089,29.9373,0
Pishin,37,25.0023,17.2304,0
Quetta,37,24.2275,24.8055,0
Sibi,37,30.7116,71.4697,0.3462
Sohbat pur,37,31.204,69.1413,0.2462
Surab,37,20.6717,39.3366,0.0692
Usta Muhammad,37,30.8988,71.8269,0.2077
Washuk,37,24.8658,23.5948,0
Zhob,37,25.4265,52.4388,0.2846
Abbottabad,37,22.9028,78.0351,3.0154
Bajaur,37,23.8806,54.4833,0.9308
Bannu,37,28.5396,71.7237,2.9154
Battagram,37,23.667,71.5604,3.9846
Buner,37,25.8153,73.1843,1.8077
Charsadda,37,27.3774,74.8148,7.7846
Chitral Lower,37,23.109,47.8653,0.4
Chitral Upper,37,23.109,47.8653,0.4
D.I. Khan,37,29.4296,75.9437,3.1769
Dir Lower,37,27.7654,76.5274,6.3923
Dir Upper,37,22.199,56.9935,0.2923
Hangu,37,25.4121,71.607,1.3308
Haripur,37,25.8452,78.9587,3.9923
Karak,37,26.982,76.4636,3.1692
Khyber,37,25.8326,70.1548,1.8538
Kohat,37,27.4622,69.9488,2.2692
Kohistan Lower,37,5.2734,76.1085,0.8308
Kohistan Upper,37,5.2734,76.1085,0.8308
Kolai Palas,37,5.2734,76.1085,0.8308
L & C Kurram,37,15.7139,76.0918,1.1308
Lakki Marwat,37,28.6302,74.0996,2.8615
Malakand,37,26.0753,68.6732,3.5154
Mansehra,37,23.3981,75.0005,3.6231
Mardan,37,27.3811,75.0878,5.7538
Mohmand,37,26.0753,68.6732,3.5154
North Waziristan,37,14.186,63.0802,0.7769
Nowshera,37,27.8239,76.5358,6.3923
Orakzai,37,24.0084,73.1869,1.5385
Peshawar,37,27.4626,74.0347,4.0846
SD Tank,37,28.9096,72.8749,2.6615
Shangla,37,18.2897,67.391,1.6846
South Waziristan (Lower),37,25.845,69.4078,0.3769
SWU,37,25.845,69.4078,0.3769
Swabi,37,26.8595,76.7451,4.4308
Swat,37,24.4167,70.7847,2.4308
Tank,37,28.9096,72.8749,2.6615
Tor Ghar,37,26.3549,77.9791,3.0846
Upper Kurram,37,15.7139,76.0918,1.1308
