district,week,avg_temp_C,avg_humidity_%,avg_rainfall_mm
Badin,25,33.9186,58.8952,0.2
Dadu,25,37.2042,41.2584,0
Ghotki,25,35.6692,46.5058,0.9429
Hyderabad,25,34.3446,56.8493,0.0143
Jacobabad,25,36.3405,43.9862,0.8714
Jamshoro,25,34.2316,57.5044,0.1143
Kamber,25,37.6812,38.7742,0.0143
Karachi Central,25,31.5178,72.3373,0.0286
Karachi East,25,31.2727,74.2221,0.0857
Karachi Kemari,25,31.2156,75.2707,0.2286
Karachi Korangi,25,31.221,75.0235,0.1429
Karachi Malir,25,31.5931,72.2605,0.0429
Karachi South,25,31.4756,70.9918,0.4714
Karachi West,25,31.5858,72.6605,0.0429
Kashmore,25,34.9878,48.6894,0.7429
Khairpur,25,36.7379,42.8684,0.0429
Larkana,25,37.2688,40.7932,0.0571
Matiari,25,34.7933,54.4222,0.2
Mirpurkhas,25,35.1452,52.8935,0.0286
Naushero Feroze,25,36.7873,43.6075,0.0429
Sanghar,25,35.2858,51.649,0.2
Shaheed Benazirabad,25,36.3715,45.8125,0
Shikarpur,25,36.0784,44.5462,0.4
Sujawal,25,33.0325,64.3474,0.0857
Sukkur,25,35.9265,45.3881,0.0857
Tando Allahyar,25,34.9215,53.9448,0
Tando Muhammad Khan,25,34.3436,57.7813,0.1714
Tharparkar,25,34.2004,55.7773,0
Thatta,25,32.778,65.3205,0.2
Umerkot,25,34.9851,52.1874,0.1429
Barkhan,25,31.6208,42.8232,1.0571
Chagai,25,34.9339,12.2421,0
Dera Bugti,25,33.0713,48.1342,0.3571
Gwadar,25,30.3994,83.3427,0
Hub,25,31.5692,70.8269,0.0571
JhalMagsi,25,37.9329,34.9832,0.1
Kachhi (Bolan),25,32.4792,35.29,0.3429
Kalat,25,25.1521,24.9702,0
Kharan,25,35.4779,13.6461,0
Khuzdar,25,31.0047,29.4807,0.5571
Killa Abdullah,25,30.9144,14.8088,0
Killa Saifullah,25,28.096,30.2132,0.5429
Kohlu,25,30.271,43.1425,1.3571
Lasbella,25,30.8538,73.0485,0.2571
Loralai,25,28.5216,35.2258,1.1571
Mastung,25,27.1759,27.3498,0
MusaKhel,25,28.3165,41.0975,1.1857
Naseerabad,25,37.0843,41.0046,0.8143
Nushki,25,33.2877,14.1051,0
Panjgur,25,32.9097,21.1018,0
Pishin,25,28.3197,22.7891,0
Quetta,25,27.6745,26.2768,0.0286
Sibi,25,36.6944,39.384,0.5857
Sohbat pur,25,36.5604,43.219,0.2143
Surab,25,25.3062,31.8252,0.1143
Usta Muhammad,25,37.3785,39.1576,0.7857
Washuk,25,28.6652,21.1432,0
Zhob,25,28.2974,38.5974,1.1429
Abbottabad,25,27.2054,39.9491,1.3571
Bajaur,25,26.4625,35.1523,1.3
Bannu,25,34.5749,29.3718,0.4
Battagram,25,27.0115,44.3896,1.0143
Buner,25,30.6523,35.2675,0.2
Charsadda,25,33.2802,33.1348,0.1286
Chitral Lower,25,23.1226,49.4353,0.2429
Chitral Upper,25,23.1226,49.4353,0.2429
D.I. Khan,25,34.9862,40.4713,2.7286
Dir Lower,25,33.6935,34.5059,0.4286
Dir Upper,25,23.3815,44.9308,0.4
Hangu,25,30.7187,32.4579,0.9286
Haripur,25,31.358,36.6027,0.5429
Karak,25,34.1685,27.6799,0.1429
Khyber,25,32.088,28.5955,1.7143
Kohat,25,34.0314,26.9822,0
Kohistan Lower,25,3.8606,86.4789,2.3429
Kohistan Upper,25,3.8606,86.4789,2.3429
Kolai Palas,25,3.8606,86.4789,2.3429
L & C Kurram,25,18.036,52.6906,2.3571
Lakki Marwat,25,33.393,39.051,2.6571
Malakand,25,32.2087,28.8585,0.3857
Mansehra,25,27.2353,42.4768,0.6714
Mardan,25,32.4704,36.0319,0.0429
Mohmand,25,32.2087,28.8585,0.3857
North Waziristan,25,14.7166,57.8834,6.9714
Nowshera,25,33.752,34.5211,0.4286
Orakzai,25,28.7885,35.3594,1.1429
Peshawar,25,33.6505,31.1465,0.3143
SD Tank,25,34.7699,33.4377,1.3571
Shangla,25,20.7384,46.5951,2
South Waziristan (Lower),25,30.4036,33.7645,0.5
SWU,25,30.4036,33.7645,0.5
Swabi,25,31.139,42.5091,0.2143
Swat,25,28.2272,38.4556,0.9571
Tank,25,34.7699,33.4377,1.3571
Tor Ghar,25,32.1903,35.9346,0.3714
Upper Kurram,25,18.036,52.6906,2.3571
