district,week,avg_temp_C,avg_humidity_%,avg_rainfall_mm
Badin,41,30.4195,51.2197,0
Dadu,41,28.7855,57.8971,0
Ghotki,41,28.9698,56.2319,0.1857
Hyderabad,41,31.9521,39.8386,0
Jacobabad,41,30.4688,43.8734,0.0714
Jamshoro,41,32.44,37.505,0
Kamber,41,28.8762,58.9714,0
Karachi Central,41,31.1996,51.0341,0
Karachi East,41,31.2385,50.7672,0
Karachi Kemari,41,30.7159,56.4404,0
Karachi Korangi,41,31.0177,53.435,0
Karachi Malir,41,31.5086,48.4029,0
Karachi South,41,31.4042,41.2992,0
Karachi West,41,30.9846,54.0817,0
Kashmore,41,28.8673,54.2408,0.1286
Khairpur,41,29.4641,49.2018,0
Larkana,41,29.8676,50.1264,0
Matiari,41,31.9305,37.9023,0
Mirpurkhas,41,31.6521,40.0844,0
Naushero Feroze,41,28.9456,55.0485,0
Sanghar,41,31.4498,43.2931,0
Shaheed Benazirabad,41,29.9971,48.8068,0
Shikarpur,41,29.148,51.8558,0.0143
Sujawal,41,30.8197,49.5356,0
Sukkur,41,29.3586,52.0343,0.0429
Tando Allahyar,41,31.7816,38.743,0
Tando Muhammad Khan,41,31.2966,43.8017,0
Tharparkar,41,31.6281,46.2548,0.3714
Thatta,41,31.8798,43.4347,0
Umerkot,41,30.1155,50.2642,0
Barkhan,41,23.5524,52.9088,1.0571
Chagai,41,25.6304,21.6734,0
Dera Bugti,41,27.3437,45.7255,0.1429
Gwadar,41,27.7553,84.9068,0
Hub,41,31.4371,44.3025,0
JhalMagsi,41,29.5219,52.8975,0.2143
Kachhi (Bolan),41,24.2295,47.226,3
Kalat,41,15.7104,41.3172,1.3857
Kharan,41,27.0291,21.8984,0
Khuzdar,41,22.3821,44.7209,1
Killa Abdullah,41,21.39,23.5854,0.1286
Killa Saifullah,41,18.7094,42.5106,1.0429
Kohlu,41,22.696,45.9407,2.0286
Lasbella,41,30.4963,45.7284,0
Loralai,41,19.9868,40.3518,1
Mastung,41,18.3756,32.5839,0.7286
MusaKhel,41,20.4305,45.2971,1
Naseerabad,41,30.2971,45.8101,0.1
Nushki,41,23.7979,22.7966,0.0143
Panjgur,41,25.9329,27.8778,0.0143
Pishin,41,18.9888,27.9753,0.0429
Quetta,41,19.0099,30.662,0.3429
Sibi,41,27.2385,58.6196,2.1714
Sohbat pur,41,30.0836,45.7444,0.0571
Surab,41,16.8333,38.9033,0.5143
Usta Muhammad,41,28.7603,55.2622,0
Washuk,41,22.0524,26.1323,0.3857
Zhob,41,19.92,43.487,0.9143
Abbottabad,41,19.7137,56.4356,1.1143
Bajaur,41,19.1714,42.108,2.4571
Bannu,41,26.5089,41.3641,0.3571
Battagram,41,19.7082,52.5995,0.6286
Buner,41,23.0133,50.6535,0
Charsadda,41,22.998,63.4279,0.4571
Chitral Lower,41,16.6613,54.0393,1.8286
Chitral Upper,41,16.6613,54.0393,1.8286
D.I. Khan,41,26.8192,59.0749,0.2429
Dir Lower,41,24.1063,56.313,0.4429
Dir Upper,41,16.522,48.6243,1.6714
Hangu,41,22.4708,45.8971,0.9143
Haripur,41,21.8372,63.6415,0.9571
Karak,41,25.9732,41.6524,0.4571
Khyber,41,23.2436,42.2388,0.6
Kohat,41,25.2272,42.4674,0.3286
Kohistan Lower,41,-0.9334,80.7041,0.0286
Kohistan Upper,41,-0.9334,80.7041,0.0286
Kolai Palas,41,-0.9334,80.7041,0.0286
L & C Kurram,41,10.9253,66.1588,2.9143
Lakki Marwat,41,25.6459,53.1195,0.9143
Malakand,41,23.1394,45.5127,0.7429
Mansehra,41,19.4073,57.1669,0.6
Mardan,41,22.4005,65.0721,0.2
Mohmand,41,23.1394,45.5127,0.7429
North Waziristan,41,8.6018,65.7314,4
Nowshera,41,24.1648,56.3268,0.4429
Orakzai,41,21.1224,46.668,0.7571
Peshawar,41,24.1046,55.162,0.4571
SD Tank,41,27.0529,42.4688,0.2286
Shangla,41,15.0095,47.2714,0.9
South Waziristan (Lower),41,22.1667,46.6999,1.0429
SWU,41,22.1667,46.6999,1.0429
Swabi,41,22.1813,67.6614,0.4571
Swat,41,19.8992,55.5612,1.0571
Tank,41,27.0529,42.4688,0.2286
Tor Ghar,41,22.2115,64.7156,1.7714
Upper Kurram,41,10.9253,66.1588,2.9143
