district,week,avg_temp_C,avg_humidity_%,avg_rainfall_mm
Badin,30,31.1621,74.6755,6.3143
Dadu,30,36.387,53.1089,0
Ghotki,30,36.7284,51.7435,0
Hyderabad,30,32.9298,66.6184,1.2429
Jacobabad,30,38.1256,46.3612,0
Jamshoro,30,33.0596,66.1174,0.8429
Kamber,30,37.6809,48.8212,0
Karachi Central,30,31.1669,74.4067,0.7857
Karachi East,30,30.9387,76.6337,1.1857
Karachi Kemari,30,31.1037,75.9205,0.6
Karachi Korangi,30,30.957,76.8396,0.9429
Karachi Malir,30,31.1848,74.6122,0.9143
Karachi South,30,30.9304,75.0689,0.4
Karachi West,30,31.5501,72.5991,0.2286
Kashmore,30,36.9271,50.6894,0
Khairpur,30,36.7194,52.1318,0
Larkana,30,37.4336,49.7433,0
Matiari,30,33.2767,65.1127,1.0143
Mirpurkhas,30,33.3188,64.9168,1.9143
Naushero Feroze,30,36.0638,54.7591,0
Sanghar,30,33.37,64.4574,0.1143
Shaheed Benazirabad,30,35.1891,58.2108,0
Shikarpur,30,36.6549,52.2498,0
Sujawal,30,31.3337,74.0966,4.0143
Sukkur,30,36.1785,53.7549,0.0143
Tando Allahyar,30,32.7134,67.4165,2.1714
Tando Muhammad Khan,30,32.2758,69.1898,2.6857
Tharparkar,30,30.7171,76.4135,2.5143
Thatta,30,31.1033,76.3673,2.9286
Umerkot,30,32.1467,68.8706,1.1
Barkhan,30,31.8551,57.3817,0.2714
Chagai,30,37.2711,12.0783,0
Dera Bugti,30,34.9425,52.3346,0.1286
Gwadar,30,29.7958,87.6299,0
Hub,30,30.9591,74.8627,0.3143
JhalMagsi,30,39.0412,44.2806,0
Kachhi (Bolan),30,33.4917,48.9174,0
Kalat,30,27.5173,34.2542,0
Kharan,30,37.5866,24.8291,0
Khuzdar,30,31.2324,52.6334,0.0286
Killa Abdullah,30,33.5835,17.3596,0
Killa Saifullah,30,29.7963,46.3558,0
Kohlu,30,30.6889,57.4112,0.6286
Lasbella,30,30.4222,76.1658,0.7857
Loralai,30,29.335,52.0403,0.0429
Mastung,30,29.0979,46.4377,0
MusaKhel,30,29.3862,53.826,0.1714
Naseerabad,30,38.2245,46.5225,0
Nushki,30,35.8794,17.6912,0
Panjgur,30,33.6623,41.6727,0
Pishin,30,30.9418,36.6368,0
Quetta,30,29.4221,44.5755,0
Sibi,30,36.5498,54.6106,0
Sohbat pur,30,37.8268,47.669,0
Surab,30,26.5014,49.7833,0.2
Usta Muhammad,30,38.6665,44.9209,0.0143
Washuk,30,30.3024,37.3235,0
Zhob,30,31.4271,42.5782,0.0286
Abbottabad,30,26.4206,78.3449,2.9143
Bajaur,30,27.8438,60.5936,2.0571
Bannu,30,34.5607,57.9871,1.1286
Battagram,30,27.9528,73.0331,2.1857
Buner,30,29.8101,70.8104,5.1429
Charsadda,30,32.8486,63.7282,1.0429
Chitral Lower,30,28.6649,41.8002,0
Chitral Upper,30,28.6649,41.8002,0
D.I. Khan,30,34.9633,60.7747,0.0143
Dir Lower,30,32.9592,65.8333,6.7714
Dir Upper,30,26.7503,62.7806,1.0714
Hangu,30,31.1696,60.6548,1.9286
Haripur,30,30.6827,70.9492,5.0143
Karak,30,32.6325,63.278,2.0857
Khyber,30,31.8746,57.8523,1.1286
Kohat,30,32.54,61.1503,2.2571
Kohistan Lower,30,10.6201,75.6615,0.9857
Kohistan Upper,30,10.6201,75.6615,0.9857
Kolai Palas,30,10.6201,75.6615,0.9857
L & C Kurram,30,20.3696,75.9708,1.0857
Lakki Marwat,30,34.7837,58.9303,0.0857
Malakand,30,31.0989,62.9424,2.7714
Mansehra,30,27.1936,74.803,6.1714
Mardan,30,32.1166,67.1971,4.3714
Mohmand,30,31.0989,62.9424,2.7714
North Waziristan,30,18.2348,69.579,1.2429
Nowshera,30,33.0177,65.8444,6.7714
Orakzai,30,29.6001,63.9421,2.6857
Peshawar,30,34.0219,57.0509,1.0714
SD Tank,30,35.4047,56.615,0.1143
Shangla,30,21.6622,76.0583,2.9143
South Waziristan (Lower),30,31.3179,57.4795,0.1286
SWU,30,31.3179,57.4795,0.1286
Swabi,30,30.9738,73.2642,6.3571
Swat,30,28.7569,70.8594,4.6857
Tank,30,35.4047,56.615,0.1143
Tor Ghar,30,30.9525,70.334,4.3571
Upper Kurram,30,20.3696,75.9708,1.0857
