district,week,avg_temp_C,avg_humidity_%,avg_rainfall_mm
Badin,29,33.2886,66.2717,3.0857
Dadu,29,36.6825,50.5435,0.5714
Ghotki,29,37.1388,48.8604,0.9714
Hyderabad,29,34.5545,60.8901,3.8
Jacobabad,29,37.3054,47.2578,1.5571
Jamshoro,29,34.6697,60.3988,3.7429
Kamber,29,37.4348,47.4269,3.5
Karachi Central,29,32.583,70.8492,0.9571
Karachi East,29,32.3742,72.2933,0.5571
Karachi Kemari,29,32.1508,73.5359,0.6429
Karachi Korangi,29,32.2668,73.0476,0.6714
Karachi Malir,29,32.7348,70.3154,0.3143
Karachi South,29,32.4069,70.4004,1.2143
Karachi West,29,32.6105,71.1677,0.8
Kashmore,29,37.2069,48.1433,0.2143
Khairpur,29,37.2745,47.6714,1.3714
Larkana,29,37.3167,47.8974,2.1143
Matiari,29,34.6049,60.9037,3.9429
Mirpurkhas,29,34.5848,60.4223,1.2857
Naushero Feroze,29,36.6215,50.8675,2.5714
Sanghar,29,34.798,59.199,1.7
Shaheed Benazirabad,29,35.9373,53.9874,3.3143
Shikarpur,29,36.7081,49.7513,1.3143
Sujawal,29,33.0206,69.2501,3.7143
Sukkur,29,36.8434,49.2464,0.6571
Tando Allahyar,29,34.231,62.1482,3.4571
Tando Muhammad Khan,29,33.8636,63.8771,1.7571
Tharparkar,29,32.5153,69.94,2.8
Thatta,29,33.181,68.877,2.3286
Umerkot,29,33.9556,62.2289,4.5429
Barkhan,29,31.4057,55.3591,1.7143
Chagai,29,36.4914,15.7671,0
Dera Bugti,29,34.5898,51.4431,0.6286
Gwadar,29,29.319,89.0708,0
Hub,29,32.5454,69.8443,0.6714
JhalMagsi,29,37.9317,44.5335,1.0143
Kachhi (Bolan),29,31.8923,53.2928,3.0571
Kalat,29,26.558,40.4639,0.0143
Kharan,29,37.0038,25.3222,0
Khuzdar,29,30.066,53.815,4.5714
Killa Abdullah,29,32.332,20.9121,0
Killa Saifullah,29,28.4427,51.4414,0.5571
Kohlu,29,29.7264,58.0416,2.1429
Lasbella,29,31.7773,72.4475,0.4429
Loralai,29,28.2412,55.6614,0.4
Mastung,29,27.9322,48.3652,0.0143
MusaKhel,29,27.8722,58.7093,2.7571
Naseerabad,29,37.7191,46.0389,1.4286
Nushki,29,34.6955,22.3795,0
Panjgur,29,33.0748,37.76,0
Pishin,29,29.817,37.0093,0
Quetta,29,28.4045,45.2711,0
Sibi,29,35.7403,55.6437,3.6429
Sohbat pur,29,37.3821,47.1624,1.5286
Surab,29,25.2866,55.1262,0.9
Usta Muhammad,29,37.8216,45.4245,1.9429
Washuk,29,29.2301,39.0788,0
Zhob,29,29.2575,50.633,3.1714
Abbottabad,29,26.7033,66.0073,2.7286
Bajaur,29,26.8664,47.8836,1.2857
Bannu,29,33.794,51.6835,2.4
Battagram,29,27.9945,57.406,3.3
Buner,29,30.2651,58.3624,1.9714
Charsadda,29,32.8692,53.85,2.9143
Chitral Lower,29,24.5071,57.0871,0.4857
Chitral Upper,29,24.5071,57.0871,0.4857
D.I. Khan,29,33.7457,64.9498,2.3714
Dir Lower,29,32.4161,59.4853,3.7571
Dir Upper,29,24.4955,54.9497,0.7
Hangu,29,30.3911,52.1186,0.8143
Haripur,29,30.4098,64.101,4.2143
Karak,29,32.3828,55.5083,4.5429
Khyber,29,31.671,46.9426,0.3
Kohat,29,33.1879,48.5006,0.4
Kohistan Lower,29,7.6234,80.7419,2.2143
Kohistan Upper,29,7.6234,80.7419,2.2143
Kolai Palas,29,7.6234,80.7419,2.2143
L & C Kurram,29,18.8023,72.6252,0.8714
Lakki Marwat,29,33.7617,57.0904,2.9143
Malakand,29,31.8198,45.7368,1.8571
Mansehra,29,27.3591,63.6593,3.6429
Mardan,29,31.8216,59.8943,5.6
Mohmand,29,31.8198,45.7368,1.8571
North Waziristan,29,16.1869,75.0712,2.8714
Nowshera,29,32.4746,59.498,3.7571
Orakzai,29,28.7102,54.9064,2.0857
Peshawar,29,33.7746,48.8737,0.1714
SD Tank,29,34.2345,56.0929,0.8429
Shangla,29,21.644,57.7914,3.4571
South Waziristan (Lower),29,30.0137,56.883,0.2286
SWU,29,30.0137,56.883,0.2286
Swabi,29,30.8339,67.0892,2.7
Swat,29,28.3757,56.1601,3.9
Tank,29,34.2345,56.0929,0.8429
Tor Ghar,29,30.8493,64.227,5
Upper Kurram,29,18.8023,72.6252,0.8714
