district,week,avg_temp_C,avg_humidity_%,avg_rainfall_mm
Badin,36,28.4877,78.572,2.3
Dadu,36,30.5792,72.3164,0.1
Ghotki,36,31.6266,68.5341,1.5857
Hyderabad,36,28.7479,78.1681,2.7714
Jacobabad,36,31.1042,72.5422,1.7286
Jamshoro,36,28.4596,80.7001,3.1571
Kamber,36,30.5524,74.8566,0.0571
Karachi Central,36,27.4047,84.2655,0.1286
Karachi East,36,27.4027,85.1123,0.1857
Karachi Kemari,36,27.5749,84.475,0.5143
Karachi Korangi,36,27.4844,84.9054,0.2714
Karachi Malir,36,27.389,84.7716,0.0714
Karachi South,36,26.9708,86.3562,0.4143
Karachi West,36,27.5567,84.1709,0.1
Kashmore,36,31.545,68.8454,3.3714
Khairpur,36,30.742,71.8915,1.2714
Larkana,36,30.753,73.3813,0.1
Matiari,36,29.1645,76.3988,3.5429
Mirpurkhas,36,29.2405,76.1959,3.1286
Naushero Feroze,36,30.0316,76.1635,0.0857
Sanghar,36,28.9897,78.8068,2.5714
Shaheed Benazirabad,36,29.9644,76.1947,0.8714
Shikarpur,36,31.0046,72.3438,0.8429
Sujawal,36,28.4783,78.0559,0.2714
Sukkur,36,30.9288,70.9788,1.0714
Tando Allahyar,36,28.9012,77.4273,2.8143
Tando Muhammad Khan,36,28.7782,77.7014,3.2429
Tharparkar,36,27.887,82.903,6.9
Thatta,36,28.0468,81.4728,0.3857
Umerkot,36,28.8485,77.9368,6.5
Barkhan,36,25.7467,81.8345,2.9286
Chagai,36,32.447,10.8459,0
Dera Bugti,36,28.2413,79.121,1.3
Gwadar,36,27.6887,84.6218,0
Hub,36,27.1365,84.7943,0.2143
JhalMagsi,36,30.9793,75.786,0.0429
Kachhi (Bolan),36,26.0485,80.2781,0.9429
Kalat,36,21.7315,38.6995,0.0429
Kharan,36,32.4187,20.2318,0
Khuzdar,36,25.5824,64.5482,0.0429
Killa Abdullah,36,29.0377,13.5084,0
Killa Saifullah,36,23.4894,66.932,1.5714
Kohlu,36,24.7734,80.4038,3.3143
Lasbella,36,26.5654,86.8871,0.4
Loralai,36,22.6927,81.2684,1.6571
Mastung,36,23.8232,41.3803,0.3
MusaKhel,36,23.0207,80.6927,2.1143
Naseerabad,36,30.7768,74.4758,0.7286
Nushki,36,30.7729,15.978,0
Panjgur,36,28.9504,46.0558,0
Pishin,36,26.5617,25.0998,0.0714
Quetta,36,24.9587,39.6609,0.0857
Sibi,36,30.3328,78.109,0.6429
Sohbat pur,36,30.8952,73.6775,0.4571
Surab,36,20.8351,57.6555,0.8571
Usta Muhammad,36,30.7627,74.2661,0.3857
Washuk,36,25.7723,36.8615,0
Zhob,36,24.6875,64.7185,2.8286
Abbottabad,36,22.4667,85.0025,5.7714
Bajaur,36,23.5274,65.1938,1.1857
Bannu,36,28.2235,75.4092,6.3571
Battagram,36,23.3882,81.6665,10.3714
Buner,36,25.4628,79.5355,2.7286
Charsadda,36,27.2906,79.5389,11.8429
Chitral Lower,36,24.1137,47.5084,0.0143
Chitral Upper,36,24.1137,47.5084,0.0143
D.I. Khan,36,29.16,79.0966,3.9857
Dir Lower,36,27.6197,79.7868,9.5714
Dir Upper,36,22.6277,65.7282,0.2429
Hangu,36,25.1292,77.856,3.8429
Haripur,36,25.9854,82.6332,4.4429
Karak,36,26.7828,79.364,5.4143
Khyber,36,25.3519,76.3436,3.3714
Kohat,36,27.1019,75.162,4.6429
Kohistan Lower,36,6.3582,81.0759,1.2714
Kohistan Upper,36,6.3582,81.0759,1.2714
Kolai Palas,36,6.3582,81.0759,1.2714
L & C Kurram,36,16.1985,80.2681,1.9429
Lakki Marwat,36,28.4956,77.1594,7.6143
Malakand,36,25.5451,76.4775,7.4143
Mansehra,36,23.2157,80.7639,8.3
Mardan,36,27.2779,79.5706,9.7143
Mohmand,36,25.5451,76.4775,7.4143
North Waziristan,36,14.9458,64.0615,0.8429
Nowshera,36,27.6782,79.7942,9.5714
Orakzai,36,23.8421,79.159,3.9
Peshawar,36,27.1207,79.4233,7.5571
SD Tank,36,28.6999,77.0942,6.6571
Shangla,36,17.8449,79.8547,3.3857
South Waziristan (Lower),36,25.7572,74.7248,1.1286
SWU,36,25.7572,74.7248,1.1286
Swabi,36,26.9179,80.1965,8.5143
Swat,36,24.2438,79.7883,5.3429
Tank,36,28.6999,77.0942,6.6571
Tor Ghar,36,26.4177,81.2021,4.5714
Upper Kurram,36,16.1985,80.2681,1.9429
