district,week,avg_temp_C,avg_humidity_%,avg_rainfall_mm
Badin,40,29.873,68.1367,0
Dadu,40,31.1585,61.493,0
Ghotki,40,31.7414,57.6224,0.125
Hyderabad,40,31.2091,61.8932,0
Jacobabad,40,32.6915,50.8014,0.0625
Jamshoro,40,31.3789,61.11,0
Kamber,40,30.9839,61.9473,0
Karachi Central,40,28.9762,74.4669,0.0125
Karachi East,40,28.902,75.4512,0
Karachi Kemari,40,28.7869,76.739,0
Karachi Korangi,40,28.8528,76.1056,0
Karachi Malir,40,29.0898,74.1612,0
Karachi South,40,28.434,76.0683,0.175
Karachi West,40,28.97,75.432,0
Kashmore,40,31.575,57.4973,0.075
Khairpur,40,32.2735,53.4443,0
Larkana,40,31.7422,57.1394,0
Matiari,40,31.8681,57.7962,0
Mirpurkhas,40,31.2885,60.7813,0
Naushero Feroze,40,31.0826,61.3046,0
Sanghar,40,31.4337,59.9741,0
Shaheed Benazirabad,40,31.6601,58.246,0
Shikarpur,40,31.4778,58.1584,0.05
Sujawal,40,29.3461,71.8882,0
Sukkur,40,31.678,57.4588,0
Tando Allahyar,40,31.1337,61.7561,0
Tando Muhammad Khan,40,30.0441,67.8429,0
Tharparkar,40,30.9964,60.3767,0
Thatta,40,29.6936,70.276,0
Umerkot,40,30.1678,64.4807,0
Barkhan,40,27.2898,48.3228,2.025
Chagai,40,29.4945,20.7891,0
Dera Bugti,40,29.4627,52.397,0.1125
Gwadar,40,28.0532,86.5693,0
Hub,40,28.8825,73.6809,0
JhalMagsi,40,32.1447,49.1472,0
Kachhi (Bolan),40,28.5001,37.4481,2.9875
Kalat,40,19.8423,34.5521,1.2125
Kharan,40,30.0593,23.1261,0
Khuzdar,40,26.2743,35.3151,0.8625
Killa Abdullah,40,25.3666,20.8466,0.1125
Killa Saifullah,40,23.6509,30.401,0.9125
Kohlu,40,25.5971,47.2078,1.5375
Lasbella,40,27.6037,80.3387,0.2625
Loralai,40,24.3556,34.8562,0.8875
Mastung,40,21.8973,33.4896,0.6375
MusaKhel,40,24.4818,39.4793,0.8125
Naseerabad,40,32.0473,54.5488,0.0875
Nushki,40,27.7784,22.2549,0.0125
Panjgur,40,28.4438,41.3822,0.0125
Pishin,40,22.8912,28.4457,0.0375
Quetta,40,22.5451,33.3204,0.3
Sibi,40,31.9447,45.462,1.9
Sohbat pur,40,31.8015,55.8773,0.05
Surab,40,20.9581,34.3028,0.45
Usta Muhammad,40,31.0811,58.5885,0
Washuk,40,24.6843,33.9561,0.375
Zhob,40,24.3798,38.2274,0.8
Abbottabad,40,22.4983,57.2492,0.1625
Bajaur,40,21.9193,42.0529,3.025
Bannu,40,28.6662,49.6141,0.3125
Battagram,40,22.5589,55.6701,0.175
Buner,40,24.9424,57.7911,1.0625
Charsadda,40,25.1886,70.0489,2.625
Chitral Lower,40,19.8957,49.8455,1.0625
Chitral Upper,40,19.8957,49.8455,1.0625
D.I. Khan,40,29.037,65.5048,0.4125
Dir Lower,40,26.3874,65.305,1.025
Dir Upper,40,19.337,47.147,0.7375
Hangu,40,25.4217,47.4189,1.225
Haripur,40,24.2448,68.0237,0.1125
Karak,40,28.1434,51.0531,0.7
Khyber,40,25.6903,44.0899,1.1
Kohat,40,27.5617,52.8431,0.15
Kohistan Lower,40,2.4393,70.512,0.1625
Kohistan Upper,40,2.4393,70.512,0.1625
Kolai Palas,40,2.4393,70.512,0.1625
L & C Kurram,40,14.0398,57.8355,0.725
Lakki Marwat,40,27.9583,60.8086,2.0375
Malakand,40,25.5244,49.8792,2.2375
Mansehra,40,22.1821,59.2088,0.1125
Mardan,40,24.7998,70.7195,1.95
Mohmand,40,25.5244,49.8792,2.2375
North Waziristan,40,12.064,53.7296,3.2625
Nowshera,40,26.4459,65.3166,1.025
Orakzai,40,24.1349,46.904,0.8
Peshawar,40,26.5851,60.9389,1.0125
SD Tank,40,29.5412,48.7088,0.1875
Shangla,40,17.4881,51.7874,1.2125
South Waziristan (Lower),40,25.7209,42.9877,0.9375
SWU,40,25.7209,42.9877,0.9375
Swabi,40,24.9111,71.7053,1.5
Swat,40,22.4571,58.7634,0.2625
Tank,40,29.5412,48.7088,0.1875
Tor Ghar,40,24.8031,68.5344,0.3625
Upper Kurram,40,14.0398,57.8355,0.725
