district,week,avg_temp_C,avg_humidity_%,avg_rainfall_mm
Badin,21,35.2975,51.2417,0
Dadu,21,39.9536,22.0828,0
Ghotki,21,39.1731,17.1248,0
Hyderabad,21,37.0946,40.0897,0
Jacobabad,21,39.678,13.4146,0
Jamshoro,21,37.0935,39.366,0
Kamber,21,39.8759,15.5191,0
Karachi Central,21,31.5133,71.0997,0
Karachi East,21,31.2599,73.682,0
Karachi Kemari,21,31.0225,75.4224,0
Karachi Korangi,21,31.1514,74.5599,0
Karachi Malir,21,31.7717,70.091,0
Karachi South,21,31.8661,66.5604,0
Karachi West,21,31.3596,72.9332,0
Kashmore,21,38.8941,16.9833,0
Khairpur,21,39.8429,16.431,0
Larkana,21,39.9792,15.2843,0
Matiari,21,38.3353,33.3257,0
Mirpurkhas,21,38.0393,36.9312,0
Naushero Feroze,21,40.3337,19.7607,0
Sanghar,21,38.1037,34.5792,0
Shaheed Benazirabad,21,40.0394,22.7789,0
Shikarpur,21,39.8519,14.5695,0
Sujawal,21,33.0494,63.2899,0
Sukkur,21,39.4012,16.6084,0
Tando Allahyar,21,37.6054,38.7899,0
Tando Muhammad Khan,21,35.0704,52.6295,0
Tharparkar,21,36.6466,43.2313,0
Thatta,21,32.5238,65.7609,0
Umerkot,21,37.7628,36.8108,0
Barkhan,21,34.4292,12.5646,0
Chagai,21,34.7488,13.3055,0
Dera Bugti,21,37.7398,12.3804,0
Gwadar,21,29.733,87.5806,0
Hub,21,31.8749,67.6336,0
JhalMagsi,21,39.9073,13.6142,0
Kachhi (Bolan),21,35.145,11.3493,0
Kalat,21,24.6059,21.1073,0
Kharan,21,35.2464,14.3971,0
Khuzdar,21,31.7687,17.7075,0
Killa Abdullah,21,29.532,15.4261,0
Killa Saifullah,21,28.4823,14.9871,0
Kohlu,21,32.5243,14.3849,0
Lasbella,21,30.3472,73.622,0
Loralai,21,29.6448,14.1584,0
Mastung,21,26.7878,18.8166,0
MusaKhel,21,29.9115,15.0675,0
Naseerabad,21,39.8643,13.7313,0
Nushki,21,33.0196,13.9474,0
Panjgur,21,32.7793,21.6154,0
Pishin,21,27.2593,18.2448,0
Quetta,21,27.3206,18.1918,0
Sibi,21,38.2879,14.3088,0
Sohbat pur,21,39.6509,13.9064,0
Surab,21,25.7196,19.4102,0.0143
Usta Muhammad,21,39.5237,13.8633,0
Washuk,21,29.0086,20.5493,0
Zhob,21,29.6551,16.721,0
Abbottabad,21,27.0337,32.4533,0.0571
Bajaur,21,24.5074,34.1066,0.0429
Bannu,21,34.7327,20.0483,0
Battagram,21,26.5778,36.9372,0.0143
Buner,21,30.3357,29.6703,0
Charsadda,21,31.9549,31.7053,0
Chitral Lower,21,20.4533,45.9672,0.1857
Chitral Upper,21,20.4533,45.9672,0.1857
D.I. Khan,21,35.1154,27.1078,0
Dir Lower,21,32.8137,27.4171,0
Dir Upper,21,21.8196,42.8965,0
Hangu,21,29.7536,27.3893,0
Haripur,21,29.8068,34.5346,0.0286
Karak,21,34.3619,18.5804,0
Khyber,21,31.7808,21.2593,0
Kohat,21,34.37,17.5851,0
Kohistan Lower,21,2.0329,78.523,0.4286
Kohistan Upper,21,2.0329,78.523,0.4286
Kolai Palas,21,2.0329,78.523,0.4286
L & C Kurram,21,16.8681,47.8692,0.6429
Lakki Marwat,21,33.1653,27.067,0
Malakand,21,30.9471,25.5424,0
Mansehra,21,26.5987,36.4576,0.0429
Mardan,21,30.918,34.3563,0
Mohmand,21,30.9471,25.5424,0
North Waziristan,21,14.3256,47.414,1.9143
Nowshera,21,32.8722,27.4322,0
Orakzai,21,27.4561,31.94,0.0429
Peshawar,21,32.5243,26.0757,0
SD Tank,21,34.9821,21.64,0
Shangla,21,21.6958,34.6919,0.6286
South Waziristan (Lower),21,31.4375,18.1503,0
SWU,21,31.4375,18.1503,0
Swabi,21,29.6848,40.4259,0
Swat,21,26.1816,40.0537,0
Tank,21,34.9821,21.64,0
Tor Ghar,21,30.7073,34.2773,0.0714
Upper Kurram,21,16.8681,47.8692,0.6429
